latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
22.43036,69.83382,304.55,0.44,0.46,2026-03-01,2036,N21,VIIRS,n,2.0NRT,293.95,0.59,N
22.43116,69.83365,304.29,0.45,0.63,2026-03-02,2018,N21,VIIRS,n,2.0NRT,294.11,0.63,N
22.42865,69.83251,306.08,0.36,0.57,2026-03-03,2140,N21,VIIRS,n,2.0NRT,294.83,0.82,N
22.33814,69.8543,309.5,0.55,0.43,2026-03-04,2120,N21,VIIRS,n,2.0NRT,298.6,3.88,N
22.33577,69.85366,308.09,0.38,0.36,2026-03-05,2101,N21,VIIRS,n,2.0NRT,298.01,1.5,N
22.33673,69.869,310.72,0.38,0.36,2026-03-05,2101,N21,VIIRS,n,2.0NRT,298.45,2.84,N
22.33905,69.85426,311.71,0.38,0.36,2026-03-05,2101,N21,VIIRS,n,2.0NRT,298.57,1.5,N
22.43112,69.83326,310.4,0.38,0.36,2026-03-05,2101,N21,VIIRS,n,2.0NRT,295.05,1.2,N
22.40689,69.88313,342.88,0.47,0.47,2026-03-09,0858,N21,VIIRS,n,2.0NRT,316.51,4.78,D
22.41016,69.8859,341.79,0.47,0.47,2026-03-09,0858,N21,VIIRS,n,2.0NRT,314.83,5.17,D
22.33847,69.85462,312.63,0.45,0.47,2026-03-09,2125,N21,VIIRS,n,2.0NRT,301.18,3.22,N
22.42984,69.83475,307.73,0.45,0.47,2026-03-09,2125,N21,VIIRS,n,2.0NRT,296.69,1.25,N
22.33586,69.86778,314.21,0.4,0.37,2026-03-10,2108,N21,VIIRS,n,2.0NRT,302.59,2.55,N
22.3378,69.85616,316.52,0.4,0.37,2026-03-10,2108,N21,VIIRS,n,2.0NRT,302.95,3.2,N
22.43023,69.83325,306.25,0.4,0.37,2026-03-10,2108,N21,VIIRS,n,2.0NRT,296.24,0.93,N
22.34086,69.85392,310.55,0.45,0.39,2026-03-11,2049,N21,VIIRS,n,2.0NRT,299.81,2.06,N
22.31238,69.85453,302.18,0.57,0.69,2026-03-13,2012,N21,VIIRS,n,2.0NRT,291.65,0.99,N
22.20038,69.95724,342.58,0.59,0.53,2026-03-14,0905,N21,VIIRS,n,2.0NRT,313.95,20.71,D
22.40389,69.85317,346.68,0.4,0.37,2026-03-16,0826,N21,VIIRS,n,2.0NRT,320.53,8.48,D
22.33952,69.85422,310.58,0.4,0.37,2026-03-16,2055,N21,VIIRS,n,2.0NRT,299.99,2.39,N
22.39936,69.86004,346.17,0.43,0.46,2026-03-17,0807,N21,VIIRS,n,2.0NRT,310.3,12.98,D
22.42875,69.83257,306.83,0.45,0.47,2026-03-17,2036,N21,VIIRS,n,2.0NRT,293.96,1.21,N
22.20309,69.89776,336.21,0.43,0.62,2026-03-18,0750,N21,VIIRS,n,2.0NRT,303.45,3.64,D
22.4318,69.99132,367.0,0.77,0.78,2026-03-18,0930,N21,VIIRS,h,2.0NRT,296.16,24.22,D
22.43491,69.99196,367.0,0.77,0.77,2026-03-18,0930,N21,VIIRS,h,2.0NRT,296.39,26.69,D
22.32976,69.75134,299.54,0.35,0.57,2026-03-19,2140,N21,VIIRS,n,2.0NRT,289.5,1.01,N
22.33289,69.86809,303.09,0.36,0.57,2026-03-19,2140,N21,VIIRS,n,2.0NRT,291.19,1.98,N
22.34099,69.85595,301.69,0.36,0.57,2026-03-19,2140,N21,VIIRS,n,2.0NRT,289.44,1.0,N
22.42703,69.83289,301.91,0.35,0.57,2026-03-19,2140,N21,VIIRS,n,2.0NRT,288.27,0.49,N
22.31723,69.79076,335.87,0.55,0.43,2026-03-20,0852,N21,VIIRS,l,2.0NRT,310.04,4.8,D
22.35819,69.79417,342.6,0.55,0.43,2026-03-20,0852,N21,VIIRS,n,2.0NRT,308.06,10.85,D
22.29692,69.99956,339.39,0.38,0.36,2026-03-21,0835,N21,VIIRS,l,2.0NRT,313.59,6.03,D
22.32512,69.82381,346.06,0.38,0.36,2026-03-21,0835,N21,VIIRS,n,2.0NRT,312.7,7.8,D
22.44778,69.98093,337.73,0.38,0.36,2026-03-21,0835,N21,VIIRS,l,2.0NRT,310.89,3.38,D
22.44946,69.99204,336.15,0.38,0.36,2026-03-21,0835,N21,VIIRS,l,2.0NRT,308.08,1.08,D
22.45982,69.97122,334.85,0.38,0.36,2026-03-21,0835,N21,VIIRS,l,2.0NRT,307.92,3.41,D
22.33971,69.8543,311.91,0.38,0.36,2026-03-21,2101,N21,VIIRS,n,2.0NRT,296.41,2.13,N
22.43778,69.99409,340.26,0.52,0.41,2026-03-22,0813,N21,VIIRS,n,2.0NRT,311.68,11.25,D
22.38413,69.9849,350.39,0.47,0.48,2026-03-25,0858,N21,VIIRS,n,2.0NRT,317.12,13.79,D
22.42959,69.83186,308.75,0.45,0.47,2026-03-25,2125,N21,VIIRS,n,2.0NRT,295.26,1.34,N
22.35593,69.79166,346.22,0.4,0.37,2026-03-26,0839,N21,VIIRS,l,2.0NRT,317.39,15.67,D
22.43152,69.97115,348.02,0.41,0.37,2026-03-26,0839,N21,VIIRS,l,2.0NRT,319.21,15.39,D
22.3382,69.85419,312.88,0.4,0.37,2026-03-26,2108,N21,VIIRS,n,2.0NRT,299.4,2.15,N
22.37992,69.95703,347.46,0.44,0.39,2026-03-27,0820,N21,VIIRS,n,2.0NRT,320.58,28.55,D
22.3405,69.85612,308.55,0.45,0.39,2026-03-27,2049,N21,VIIRS,n,2.0NRT,298.3,3.15,N
22.43019,69.83276,307.67,0.45,0.39,2026-03-27,2049,N21,VIIRS,n,2.0NRT,296.68,1.41,N
22.29349,69.98151,334.96,0.54,0.51,2026-03-28,0803,N21,VIIRS,n,2.0NRT,302.05,3.08,D
22.4136,69.89274,341.43,0.54,0.51,2026-03-28,0803,N21,VIIRS,n,2.0NRT,301.93,13.36,D
22.33166,69.86633,303.08,0.56,0.52,2026-03-28,2029,N21,VIIRS,n,2.0NRT,291.83,2.96,N
22.33843,69.85404,305.4,0.56,0.52,2026-03-30,2131,N21,VIIRS,n,2.0NRT,294.64,3.81,N
22.25853,69.89301,340.96,0.46,0.39,2026-03-31,0845,N21,VIIRS,l,2.0NRT,313.05,18.98,D
22.33841,69.85287,306.21,0.45,0.39,2026-03-31,2114,N21,VIIRS,n,2.0NRT,295.89,2.98,N
22.33744,69.71162,337.88,0.54,0.42,2026-04-05,0852,N21,VIIRS,l,2.0NRT,312.85,7.06,D
22.33615,69.86816,310.58,0.38,0.36,2026-04-06,2101,N21,VIIRS,n,2.0NRT,298.08,1.62,N
22.33846,69.85339,309.83,0.38,0.36,2026-04-06,2101,N21,VIIRS,n,2.0NRT,297.5,2.21,N
22.39186,69.87063,339.51,0.35,0.57,2026-04-08,0756,N21,VIIRS,n,2.0NRT,306.56,1.67,D
22.31215,69.71574,307.42,0.37,0.58,2026-04-08,2023,N21,VIIRS,n,2.0NRT,291.85,0.46,N
22.31327,69.71584,315.38,0.37,0.58,2026-04-08,2023,N21,VIIRS,n,2.0NRT,291.7,1.01,N
22.32952,69.73843,307.55,0.43,0.62,2026-04-09,2146,N21,VIIRS,n,2.0NRT,291.39,1.18,N
22.3314,69.74002,306.2,0.43,0.62,2026-04-09,2146,N21,VIIRS,n,2.0NRT,291.63,1.58,N
22.39724,69.82426,336.38,0.45,0.47,2026-04-10,0858,N21,VIIRS,l,2.0NRT,310.08,4.68,D
22.33133,69.73916,318.49,0.44,0.46,2026-04-10,2125,N21,VIIRS,n,2.0NRT,296.03,1.97,N
22.33212,69.73502,310.37,0.44,0.46,2026-04-10,2125,N21,VIIRS,n,2.0NRT,295.56,1.2,N
22.43124,69.83454,306.14,0.44,0.46,2026-04-10,2125,N21,VIIRS,n,2.0NRT,295.36,1.1,N
22.33292,69.7366,314.83,0.4,0.37,2026-04-11,2108,N21,VIIRS,n,2.0NRT,297.27,1.72,N
22.33247,69.73551,319.04,0.46,0.39,2026-04-12,2046,N21,VIIRS,n,2.0NRT,298.33,1.92,N
22.33009,69.73493,305.19,0.54,0.68,2026-04-14,2153,N21,VIIRS,n,2.0NRT,294.21,1.82,N
22.45119,69.98673,350.13,0.44,0.46,2026-04-18,0807,N21,VIIRS,n,2.0NRT,318.59,13.65,D
22.20879,69.74622,354.56,0.46,0.63,2026-04-19,0750,N21,VIIRS,n,2.0NRT,314.38,9.06,D
22.33941,69.85428,312.94,0.38,0.36,2026-04-22,2101,N21,VIIRS,n,2.0NRT,301.93,3.21,N
22.41263,69.93995,343.23,0.58,0.52,2026-05-01,0905,N21,VIIRS,n,2.0NRT,314.49,6.97,D
22.41554,69.92569,311.56,0.56,0.51,2026-05-01,2131,N21,VIIRS,n,2.0NRT,298.33,1.09,N
22.25767,69.79171,344.79,0.45,0.39,2026-05-02,0845,N21,VIIRS,l,2.0NRT,316.6,16.38,D
22.35215,69.8322,340.03,0.4,0.37,2026-05-03,0826,N21,VIIRS,l,2.0NRT,314.66,8.14,D
22.32323,69.87736,318.95,0.45,0.63,2026-05-05,2019,N21,VIIRS,n,2.0NRT,296.92,4.0,N
22.32335,69.8791,321.78,0.45,0.63,2026-05-05,2019,N21,VIIRS,n,2.0NRT,296.93,4.16,N
22.29427,69.9338,340.49,0.36,0.58,2026-05-06,0909,N21,VIIRS,n,2.0NRT,308.07,5.08,D
22.29493,69.93437,343.32,0.36,0.58,2026-05-06,0909,N21,VIIRS,n,2.0NRT,308.19,6.21,D
22.33965,69.86987,312.82,0.35,0.57,2026-05-06,2138,N21,VIIRS,n,2.0NRT,297.32,2.09,N
22.32724,69.73833,310.17,0.44,0.62,2026-05-11,2144,N21,VIIRS,n,2.0NRT,297.37,1.26,N
22.32963,69.73843,347.57,0.44,0.46,2026-05-12,2125,N21,VIIRS,n,2.0NRT,299.79,9.71,N
22.33224,69.73727,344.2,0.4,0.37,2026-05-13,0837,N21,VIIRS,l,2.0NRT,318.79,9.88,D
22.32934,69.7366,311.21,0.4,0.37,2026-05-13,2108,N21,VIIRS,n,2.0NRT,300.15,1.18,N
22.33331,69.73341,314.37,0.4,0.37,2026-05-13,2108,N21,VIIRS,n,2.0NRT,300.06,0.64,N
22.32113,69.88214,313.97,0.45,0.39,2026-05-14,2046,N21,VIIRS,n,2.0NRT,298.9,3.59,N
22.32247,69.87892,321.13,0.45,0.39,2026-05-14,2046,N21,VIIRS,n,2.0NRT,299.35,3.31,N
22.33116,69.73651,313.11,0.46,0.39,2026-05-14,2046,N21,VIIRS,n,2.0NRT,299.01,3.17,N
22.33176,69.73208,317.06,0.46,0.39,2026-05-14,2046,N21,VIIRS,n,2.0NRT,298.86,2.05,N
22.33148,69.73385,336.24,0.58,0.52,2026-05-15,2029,N21,VIIRS,n,2.0NRT,297.26,8.27,N
22.32906,69.7291,343.76,0.57,0.69,2026-05-16,0741,N21,VIIRS,n,2.0NRT,306.2,8.68,D
22.33034,69.73445,350.92,0.57,0.69,2026-05-16,0741,N21,VIIRS,n,2.0NRT,304.99,8.68,D
22.33144,69.73557,351.23,0.57,0.69,2026-05-16,0922,N21,VIIRS,n,2.0NRT,304.8,10.05,D
22.33186,69.74107,343.81,0.57,0.69,2026-05-16,0922,N21,VIIRS,n,2.0NRT,304.25,10.05,D
22.33187,69.73861,324.21,0.55,0.68,2026-05-16,2153,N21,VIIRS,n,2.0NRT,297.62,5.01,N
22.33288,69.73816,331.84,0.55,0.68,2026-05-16,2153,N21,VIIRS,n,2.0NRT,297.55,6.64,N
22.33126,69.7318,338.41,0.46,0.47,2026-05-20,2036,N21,VIIRS,n,2.0NRT,298.16,4.68,N
22.33316,69.73292,337.24,0.46,0.47,2026-05-20,2036,N21,VIIRS,n,2.0NRT,297.67,5.27,N
22.33461,69.73081,340.46,0.45,0.63,2026-05-21,0748,N21,VIIRS,n,2.0NRT,304.81,3.31,D
22.3301,69.73223,309.46,0.46,0.64,2026-05-21,2017,N21,VIIRS,n,2.0NRT,296.28,1.48,N
22.30894,69.71965,313.97,0.34,0.56,2026-05-22,2138,N21,VIIRS,n,2.0NRT,292.32,1.01,N
22.31121,69.72086,308.89,0.35,0.56,2026-05-22,2138,N21,VIIRS,n,2.0NRT,292.12,0.77,N
22.33207,69.73598,348.74,0.35,0.56,2026-05-22,2138,N21,VIIRS,n,2.0NRT,293.42,6.76,N
22.33337,69.73755,338.7,0.54,0.42,2026-05-23,0852,N21,VIIRS,n,2.0NRT,305.45,16.01,D
22.3384,69.85451,310.4,0.54,0.42,2026-05-23,2121,N21,VIIRS,n,2.0NRT,299.34,1.97,N
22.29005,69.74286,339.33,0.38,0.36,2026-05-24,0833,N21,VIIRS,l,2.0NRT,309.94,4.55,D
22.32951,69.73589,338.09,0.38,0.36,2026-05-24,0833,N21,VIIRS,l,2.0NRT,309.68,11.06,D
22.3328,69.7353,338.3,0.38,0.36,2026-05-24,0833,N21,VIIRS,l,2.0NRT,308.95,7.63,D
22.33081,69.72823,320.33,0.75,0.77,2026-05-27,2004,N21,VIIRS,n,2.0NRT,295.04,6.4,N
22.3327,69.72951,315.43,0.75,0.77,2026-05-27,2004,N21,VIIRS,n,2.0NRT,294.81,4.42,N
22.3505,69.75138,305.31,0.75,0.77,2026-05-27,2004,N21,VIIRS,n,2.0NRT,294.98,2.32,N
22.33235,69.73709,311.1,0.44,0.62,2026-05-27,2144,N21,VIIRS,n,2.0NRT,296.94,3.2,N
22.34621,69.75409,314.32,0.44,0.62,2026-05-27,2144,N21,VIIRS,n,2.0NRT,296.97,2.75,N
22.34713,69.74997,313.87,0.44,0.62,2026-05-27,2144,N21,VIIRS,n,2.0NRT,296.72,2.75,N
22.33627,69.86784,312.22,0.4,0.37,2026-05-29,2108,N21,VIIRS,n,2.0NRT,301.99,1.95,N
22.33089,69.73832,306.97,0.38,0.36,2026-06-01,2104,N20,VIIRS,n,2.0NRT,267.13,0.97,N
22.32742,69.73811,305.83,0.55,0.68,2026-06-01,2150,N21,VIIRS,n,2.0NRT,289.78,1.72,N
