osm_type,osm_id,name,industrial,landuse,man_made,power,geometry_wkt
node,12102019343,Essar Power Limited,,,works,,POINT (69.735426 22.324499)
node,12102034391,Reliance industries,,,works,,POINT (69.845762 22.355298)
way,91585872,Reliance Refinery,refinery,industrial,,,"POLYGON ((69.879872 22.364358, 69.880666 22.363234, 69.881328 22.3624, 69.883116 22.361036, 69.883269 22.36125, 69.883953 22.361232, 69.883907 22.362223, 69.886038 22.362352, 69.886319 22.361244, 69.887959 22.361777, 69.888268 22.362293, 69.888616 22.362514, 69.889676 22.362643, 69.889755 22.361477, 69.892678 22.36058, 69.894656 22.359967, 69.896078 22.359134, 69.895416 22.356545, 69.895449 22.356258, 69.89591 22.355722, 69.896758 22.353985, 69.896489 22.352884, 69.896146 22.352904, 69.895577 22.352775, 69.895695 22.352437, 69.895341 22.351654, 69.895717 22.347476, 69.895261 22.347094, 69.89466 22.346955, 69.894982 22.342896, 69.89458 22.342872, 69.894563 22.337718, 69.894252 22.337644, 69.893968 22.337304, 69.893917 22.336994, 69.893896 22.336694, 69.893912 22.336439, 69.894124 22.335766, 69.894944 22.334129, 69.895567 22.332978, 69.896425 22.329643, 69.897283 22.325961, 69.898453 22.324353, 69.900094 22.323629, 69.899461 22.322954, 69.894644 22.321029, 69.892766 22.319748, 69.892734 22.319259, 69.893359 22.319398, 69.893501 22.318287, 69.892729 22.317721, 69.891758 22.317103, 69.891286 22.316962, 69.890347 22.31688, 69.889382 22.316989, 69.888716 22.317247, 69.88789 22.317679, 69.886919 22.318686, 69.886603 22.319287, 69.886334 22.319991, 69.886297 22.321485, 69.886351 22.32285, 69.885889 22.324319, 69.885433 22.324964, 69.883862 22.327078, 69.882756 22.329152, 69.881563 22.331459, 69.881209 22.332209, 69.880895 22.333109, 69.880796 22.333335, 69.880694 22.333342, 69.880399 22.334092, 69.8802 22.334553, 69.879873 22.336128, 69.879605 22.337672, 69.878733 22.340919, 69.872448 22.339862, 69.875437 22.335059, 69.87588 22.334348, 69.885455 22.318964, 69.888318 22.315911, 69.876466 22.307842, 69.870901 22.304225, 69.868873 22.302339, 69.868315 22.302339, 69.86794 22.302418, 69.867425 22.302686, 69.866835 22.303133, 69.865205 22.304702, 69.863125 22.306739, 69.861395 22.309346, 69.853048 22.313019, 69.852147 22.320483, 69.851804 22.325088, 69.844882 22.327478, 69.844925 22.333461, 69.844476 22.333447, 69.844307 22.333623, 69.843449 22.33363, 69.843323 22.333427, 69.842738 22.333179, 69.842362 22.333175, 69.842234 22.335469, 69.842116 22.335657, 69.841847 22.336049, 69.837888 22.336089, 69.837856 22.335563, 69.836429 22.335022, 69.835753 22.334863, 69.835673 22.335672, 69.834766 22.335578, 69.834595 22.336883, 69.834911 22.336883, 69.834895 22.338375, 69.835723 22.338405, 69.835787 22.338935, 69.837395 22.338998, 69.837218 22.340589, 69.837289 22.341262, 69.833687 22.341238, 69.833071 22.342991, 69.83511 22.343408, 69.835432 22.34313, 69.8366 22.343095, 69.837215 22.343213, 69.836551 22.345033, 69.835828 22.346156, 69.835936 22.34629, 69.836027 22.346806, 69.836054 22.347104, 69.835872 22.347481, 69.836333 22.347387, 69.836419 22.346955, 69.836971 22.346816, 69.837052 22.346374, 69.838307 22.346236, 69.839348 22.346156, 69.839608 22.347113, 69.839637 22.347961, 69.839999 22.348623, 69.839984 22.347151, 69.844604 22.347311, 69.844766 22.347317, 69.844845 22.34732, 69.845024 22.347332, 69.845134 22.362735, 69.845826 22.362736, 69.855023 22.371233, 69.855119 22.365374, 69.856401 22.365412, 69.857186 22.364969, 69.857682 22.364336, 69.860587 22.365221, 69.859869 22.363874, 69.859941 22.363456, 69.86916 22.363453, 69.871395 22.364344, 69.87214 22.361849, 69.872827 22.361886, 69.873546 22.361876, 69.873634 22.361851, 69.873709 22.361941, 69.875759 22.361938, 69.876978 22.361875, 69.877132 22.361963, 69.879872 22.364358))"
way,139729613,G.S.F.C.,,,,substation,"POLYGON ((69.855844 22.385811, 69.856165 22.386118, 69.856571 22.385755, 69.85625 22.385448, 69.855844 22.385811))"
way,139729620,,,,,substation,"POLYGON ((69.851339 22.428248, 69.85157 22.428487, 69.851734 22.428351, 69.851503 22.428112, 69.851339 22.428248))"
way,139729623,,,,,substation,"POLYGON ((69.848644 22.436076, 69.848539 22.436381, 69.848884 22.436483, 69.848989 22.436178, 69.848644 22.436076))"
way,139729634,,,,,substation,"POLYGON ((69.87545 22.344715, 69.875977 22.344832, 69.876026 22.344643, 69.8755 22.344526, 69.87545 22.344715))"
way,139729708,Sikka TPS,,,,substation,"POLYGON ((69.824397 22.420854, 69.824534 22.42228, 69.824128 22.422313, 69.824143 22.422464, 69.824194 22.423003, 69.824531 22.422976, 69.824495 22.422605, 69.825414 22.422529, 69.82525 22.42082, 69.825506 22.420799, 69.825456 22.420279, 69.825265 22.420295, 69.825175 22.419355, 69.823562 22.419488, 69.823698 22.420911, 69.824397 22.420854))"
way,139787908,,,industrial,,,"POLYGON ((69.856819 22.418194, 69.856741 22.418268, 69.856382 22.418608, 69.855523 22.419473, 69.855277 22.419854, 69.855138 22.420573, 69.855076 22.42068, 69.854878 22.421417, 69.854885 22.421816, 69.85446 22.422274, 69.853563 22.422397, 69.853485 22.424245, 69.852902 22.425171, 69.85237 22.423224, 69.851793 22.423335, 69.85204 22.423754, 69.852104 22.424009, 69.852004 22.425123, 69.851842 22.426672, 69.851686 22.427214, 69.851531 22.427483, 69.850542 22.428115, 69.849953 22.42979, 69.849363 22.431201, 69.849087 22.432069, 69.84876 22.433908, 69.848044 22.436296, 69.847224 22.438755, 69.846372 22.441331, 69.84618 22.441882, 69.846015 22.442092, 69.846091 22.442104, 69.846968 22.442241, 69.849039 22.441382, 69.850192 22.440795, 69.851369 22.440408, 69.851596 22.440582, 69.852218 22.440483, 69.852655 22.440088, 69.854191 22.439255, 69.854889 22.439022, 69.856009 22.43856, 69.858226 22.437939, 69.860458 22.437359, 69.862853 22.436898, 69.863537 22.436269, 69.864162 22.435628, 69.86438 22.435769, 69.864798 22.435358, 69.864389 22.435047, 69.865125 22.434172, 69.865757 22.434882, 69.865825 22.434774, 69.867448 22.435781, 69.867575 22.436245, 69.868505 22.436886, 69.869555 22.43638, 69.869394 22.435638, 69.869394 22.435296, 69.869462 22.434799, 69.869696 22.434314, 69.86989 22.433987, 69.870114 22.433224, 69.870123 22.432894, 69.86999 22.432598, 69.869738 22.432292, 69.867777 22.431549, 69.867408 22.431522, 69.867336 22.431316, 69.867495 22.43128, 69.867641 22.430851, 69.86675 22.429569, 69.86722 22.428188, 69.867703 22.427394, 69.868817 22.426259, 69.870904 22.42418, 69.871261 22.423806, 69.873123 22.416267, 69.870444 22.414374, 69.867534 22.413591, 69.866449 22.414284, 69.865845 22.414086, 69.865633 22.414019, 69.865429 22.414014, 69.864735 22.4142, 69.864523 22.41422, 69.863865 22.414168, 69.863294 22.414178, 69.863179 22.41416, 69.862868 22.414051, 69.862559 22.413977, 69.862315 22.413956, 69.862012 22.413999, 69.861376 22.414126, 69.86073 22.414724, 69.86044 22.41565, 69.860188 22.415613, 69.85974 22.417064, 69.859545 22.417029, 69.8595 22.417396, 69.859177 22.417389, 69.859124 22.417701, 69.858381 22.417629, 69.856819 22.418194))"
way,139788086,,,,storage_tank,,"POLYGON ((69.863653 22.433315, 69.863518 22.433221, 69.863355 22.433182, 69.863188 22.433205, 69.863043 22.433284, 69.862942 22.433409, 69.8629 22.43356, 69.862924 22.433714, 69.86301 22.433849, 69.863145 22.433942, 69.863308 22.433981, 69.863475 22.433959, 69.86362 22.433879, 69.863722 22.433754, 69.863764 22.433603, 69.86374 22.433449, 69.863653 22.433315))"
way,139788087,,,,storage_tank,,"POLYGON ((69.861748 22.432782, 69.861613 22.432689, 69.86145 22.43265, 69.861283 22.432672, 69.861138 22.432752, 69.861036 22.432877, 69.860995 22.433028, 69.861019 22.433182, 69.861105 22.433316, 69.86124 22.43341, 69.861403 22.433448, 69.86157 22.433426, 69.861715 22.433347, 69.861817 22.433222, 69.861858 22.433071, 69.861834 22.432916, 69.861748 22.432782))"
way,139788088,,,,storage_tank,,"POLYGON ((69.850052 22.437247, 69.850064 22.437135, 69.85003 22.437028, 69.849954 22.436941, 69.849847 22.436888, 69.849727 22.436876, 69.849611 22.436908, 69.849517 22.436979, 69.84946 22.437077, 69.849447 22.437188, 69.849482 22.437296, 69.849558 22.437382, 69.849664 22.437436, 69.849784 22.437447, 69.8499 22.437415, 69.849994 22.437345, 69.850052 22.437247))"
way,139788089,,,,storage_tank,,"POLYGON ((69.861166 22.426469, 69.861032 22.426375, 69.860868 22.426337, 69.860701 22.426359, 69.860556 22.426438, 69.860455 22.426563, 69.860413 22.426714, 69.860437 22.426869, 69.860523 22.427003, 69.860658 22.427096, 69.860822 22.427135, 69.860989 22.427113, 69.861134 22.427033, 69.861235 22.426908, 69.861277 22.426757, 69.861253 22.426603, 69.861166 22.426469))"
way,139788091,,,,storage_tank,,"POLYGON ((69.862878 22.42894, 69.862754 22.42886, 69.862571 22.428823, 69.862396 22.428858, 69.862266 22.428941, 69.862168 22.429082, 69.86214 22.429224, 69.862186 22.429403, 69.862266 22.429506, 69.86241 22.429594, 69.862611 22.429621, 69.862746 22.429589, 69.862877 22.429506, 69.862963 22.429395, 69.863004 22.429224, 69.86298 22.42909, 69.862878 22.42894))"
way,139788092,,,,storage_tank,,"POLYGON ((69.853629 22.435, 69.853641 22.434889, 69.853607 22.434782, 69.853531 22.434695, 69.853424 22.434642, 69.853304 22.43463, 69.853188 22.434662, 69.853094 22.434732, 69.853036 22.434831, 69.853024 22.434942, 69.853058 22.435049, 69.853135 22.435136, 69.853241 22.435189, 69.853361 22.435201, 69.853477 22.435169, 69.853571 22.435098, 69.853629 22.435))"
way,139788093,,,,storage_tank,,"POLYGON ((69.851916 22.43398, 69.851921 22.433863, 69.85188 22.433764, 69.851816 22.433694, 69.851689 22.433634, 69.851551 22.433632, 69.851454 22.433667, 69.851359 22.43375, 69.851314 22.433844, 69.851306 22.433939, 69.85135 22.43406, 69.851412 22.434129, 69.851541 22.43419, 69.851642 22.434198, 69.851776 22.434157, 69.851854 22.434095, 69.851916 22.43398))"
way,139788094,,,,storage_tank,,"POLYGON ((69.851583 22.435187, 69.851596 22.435076, 69.851561 22.434969, 69.851485 22.434882, 69.851379 22.434829, 69.851258 22.434817, 69.851142 22.434849, 69.851048 22.43492, 69.850991 22.435018, 69.850978 22.435129, 69.851013 22.435236, 69.851089 22.435323, 69.851195 22.435376, 69.851316 22.435388, 69.851432 22.435356, 69.851526 22.435286, 69.851583 22.435187))"
way,139788095,,,,storage_tank,,"POLYGON ((69.85574 22.428132, 69.855744 22.428015, 69.855704 22.427915, 69.85564 22.427845, 69.855513 22.427785, 69.855375 22.427783, 69.855278 22.427818, 69.855183 22.427902, 69.855138 22.427995, 69.85513 22.428091, 69.855174 22.428212, 69.855236 22.42828, 69.855365 22.428342, 69.855466 22.428349, 69.8556 22.428309, 69.855678 22.428246, 69.85574 22.428132))"
way,139788097,,,,storage_tank,,"POLYGON ((69.85861 22.42788, 69.858476 22.427787, 69.858312 22.427748, 69.858145 22.42777, 69.858 22.42785, 69.857899 22.427975, 69.857857 22.428126, 69.857881 22.42828, 69.857967 22.428414, 69.858102 22.428508, 69.858266 22.428546, 69.858433 22.428524, 69.858578 22.428445, 69.858679 22.42832, 69.858721 22.428169, 69.858697 22.428014, 69.85861 22.42788))"
way,139788098,,,,storage_tank,,"POLYGON ((69.856744 22.435985, 69.856756 22.435874, 69.856722 22.435766, 69.856646 22.43568, 69.856539 22.435626, 69.856419 22.435615, 69.856303 22.435647, 69.856209 22.435717, 69.856151 22.435815, 69.856139 22.435927, 69.856173 22.436034, 69.85625 22.436121, 69.856356 22.436174, 69.856476 22.436186, 69.856592 22.436154, 69.856686 22.436083, 69.856744 22.435985))"
way,139788099,,,,storage_tank,,"POLYGON ((69.855282 22.437745, 69.855294 22.437634, 69.85526 22.437527, 69.855183 22.43744, 69.855077 22.437387, 69.854957 22.437375, 69.854841 22.437407, 69.854747 22.437478, 69.854689 22.437576, 69.854677 22.437687, 69.854711 22.437794, 69.854787 22.437881, 69.854894 22.437934, 69.855014 22.437946, 69.85513 22.437914, 69.855224 22.437844, 69.855282 22.437745))"
way,139788100,,,,storage_tank,,"POLYGON ((69.860536 22.421434, 69.860412 22.421354, 69.860229 22.421317, 69.860055 22.421352, 69.859924 22.421435, 69.859826 22.421575, 69.859798 22.421717, 69.859844 22.421897, 69.859924 22.421999, 69.860068 22.422087, 69.860269 22.422115, 69.860404 22.422083, 69.860535 22.422, 69.860621 22.421888, 69.860663 22.421717, 69.860638 22.421584, 69.860536 22.421434))"
way,139788101,,,,storage_tank,,"POLYGON ((69.856226 22.426499, 69.856231 22.426382, 69.85619 22.426282, 69.856126 22.426213, 69.855999 22.426153, 69.855861 22.42615, 69.855764 22.426186, 69.855669 22.426269, 69.855624 22.426363, 69.855616 22.426458, 69.85566 22.426579, 69.855722 22.426648, 69.855851 22.426709, 69.855952 22.426716, 69.856086 22.426676, 69.856164 22.426614, 69.856226 22.426499))"
way,139788102,,,,storage_tank,,"POLYGON ((69.863447 22.427051, 69.863323 22.426971, 69.863141 22.426934, 69.862966 22.426968, 69.862835 22.427051, 69.862737 22.427192, 69.862709 22.427334, 69.862756 22.427514, 69.862836 22.427616, 69.86298 22.427704, 69.86318 22.427732, 69.863316 22.427699, 69.863447 22.427617, 69.863532 22.427505, 69.863574 22.427334, 69.86355 22.4272, 69.863447 22.427051))"
way,139788103,,,,storage_tank,,"POLYGON ((69.868239 22.424985, 69.868114 22.424905, 69.867932 22.424868, 69.867757 22.424903, 69.867626 22.424986, 69.867528 22.425127, 69.8675 22.425269, 69.867547 22.425448, 69.867627 22.425551, 69.867771 22.425639, 69.867971 22.425666, 69.868107 22.425634, 69.868238 22.425552, 69.868324 22.42544, 69.868365 22.425269, 69.868341 22.425135, 69.868239 22.424985))"
way,139788104,,,,storage_tank,,"POLYGON ((69.864213 22.431362, 69.864089 22.431282, 69.863907 22.431246, 69.863732 22.43128, 69.863601 22.431363, 69.863503 22.431504, 69.863475 22.431646, 69.863521 22.431825, 69.863602 22.431928, 69.863745 22.432016, 69.863946 22.432043, 69.864082 22.432011, 69.864213 22.431928, 69.864298 22.431817, 69.86434 22.431646, 69.864315 22.431512, 69.864213 22.431362))"
way,139788105,,,,storage_tank,,"POLYGON ((69.857436 22.42247, 69.857449 22.422359, 69.857414 22.422252, 69.857338 22.422165, 69.857232 22.422112, 69.857112 22.4221, 69.856996 22.422132, 69.856902 22.422203, 69.856844 22.422301, 69.856832 22.422412, 69.856866 22.42252, 69.856942 22.422606, 69.857049 22.42266, 69.857169 22.422671, 69.857285 22.422639, 69.857379 22.422569, 69.857436 22.42247))"
way,139788107,,,,storage_tank,,"POLYGON ((69.857083 22.423693, 69.857096 22.423582, 69.857061 22.423475, 69.856985 22.423388, 69.856879 22.423335, 69.856758 22.423323, 69.856642 22.423355, 69.856548 22.423425, 69.856491 22.423524, 69.856478 22.423635, 69.856513 22.423742, 69.856589 22.423829, 69.856695 22.423882, 69.856816 22.423894, 69.856932 22.423862, 69.857026 22.423791, 69.857083 22.423693))"
way,139788108,,,,storage_tank,,"POLYGON ((69.859996 22.430303, 69.859861 22.430209, 69.859697 22.430171, 69.85953 22.430193, 69.859385 22.430272, 69.859284 22.430397, 69.859242 22.430548, 69.859266 22.430703, 69.859352 22.430837, 69.859487 22.43093, 69.859651 22.430969, 69.859818 22.430947, 69.859963 22.430867, 69.860064 22.430742, 69.860106 22.430591, 69.860082 22.430437, 69.859996 22.430303))"
way,139788109,,,,storage_tank,,"POLYGON ((69.857473 22.431701, 69.857338 22.431608, 69.857174 22.431569, 69.857007 22.431591, 69.856862 22.431671, 69.856761 22.431796, 69.856719 22.431947, 69.856743 22.432101, 69.856829 22.432235, 69.856964 22.432329, 69.857128 22.432368, 69.857295 22.432345, 69.85744 22.432266, 69.857541 22.432141, 69.857583 22.43199, 69.857559 22.431836, 69.857473 22.431701))"
way,139788110,,,,storage_tank,,"POLYGON ((69.854654 22.434072, 69.854666 22.43396, 69.854632 22.433853, 69.854555 22.433766, 69.854449 22.433713, 69.854329 22.433702, 69.854213 22.433733, 69.854119 22.433804, 69.854061 22.433902, 69.854049 22.434013, 69.854083 22.434121, 69.854159 22.434207, 69.854266 22.434261, 69.854386 22.434272, 69.854502 22.43424, 69.854596 22.43417, 69.854654 22.434072))"
