facility_name,acq_date,detection_count,max_frp_mw,mean_frp_mw,total_frp_mw,frp_score,detection_score,frequency_score,behavior_score,behavior_state,reason,previous_active_days,baseline_start_date,baseline_end_date,baseline_activity_frequency,frp_p75_mw,frp_p90_mw,frp_p95_mw,detection_p75,detection_p90,detection_p95,assessment_basis
Essar Power,2026-04-05,1,7.06,7.06,7.06,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Essar Power,2026-04-08,1,0.46,0.46,0.46,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-04-05,2026-04-05,,,,,,,,Walk-forward facility-level historical thermal baseline
Lalpur,2026-03-14,1,20.71,20.71,20.71,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Modpar,2026-05-02,1,16.38,16.38,16.38,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Moti Rafudad,2026-03-18,1,3.64,3.64,3.64,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Moti Rafudad,2026-03-31,1,18.98,18.98,18.98,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-03-18,2026-03-18,,,,,,,,Walk-forward facility-level historical thermal baseline
Pipli,2026-03-27,1,28.55,28.55,28.55,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-04,1,3.88,3.88,3.88,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-05,3,2.84,1.9466666666666663,5.84,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-03-04,2026-03-04,,,,,,,,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-09,1,3.22,3.22,3.22,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,2,2026-03-04,2026-03-05,,,,,,,,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-10,2,3.2,2.875,5.75,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,3,2026-03-04,2026-03-09,,,,,,,,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-11,1,2.06,2.06,2.06,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,4,2026-03-04,2026-03-10,,,,,,,,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-13,1,0.99,0.99,0.99,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,5,2026-03-04,2026-03-11,0.5556,3.22,3.616,3.748,2.0,2.6,2.8,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-16,1,2.39,2.39,2.39,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,6,2026-03-04,2026-03-13,0.5,3.215,3.55,3.715,1.75,2.5,2.75,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-19,2,1.98,1.49,2.98,0.0,44.44,0.0,15.56,NORMAL,thermal behaviour is within the site's previous historical range,7,2026-03-04,2026-03-16,0.4667,3.21,3.484,3.682,1.5,2.4,2.7,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-21,2,7.8,4.965,9.93,100.0,0.0,0.0,45.0,WATCH,peak FRP is well above the site's previous range,8,2026-03-04,2026-03-19,0.4706,3.205,3.418,3.649,2.0,2.3,2.65,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-26,1,2.15,2.15,2.15,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,9,2026-03-04,2026-03-21,0.4091,3.22,4.664,6.232,2.0,2.2,2.6,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-27,1,3.15,3.15,3.15,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,10,2026-03-04,2026-03-26,0.4348,3.215,4.272,6.036,2.0,2.1,2.55,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-28,1,2.96,2.96,2.96,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,11,2026-03-04,2026-03-27,0.4583,3.21,3.88,5.84,2.0,2.0,2.5,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-30,1,3.81,3.81,3.81,59.77,0.0,0.0,26.9,NORMAL,thermal behaviour is within the site's previous historical range,12,2026-03-04,2026-03-28,0.4615,3.205,3.814,5.644,2.0,2.0,2.45,Walk-forward facility-level historical thermal baseline
Reliance Refinery,2026-03-31,1,2.98,2.98,2.98,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,13,2026-03-04,2026-03-30,0.4815,3.22,3.866,5.448,2.0,2.0,2.4,Walk-forward facility-level historical thermal baseline
