facility_name,first_observation,last_observation,observation_window_days,active_days,activity_frequency,frp_mean_mw,frp_median_mw,frp_std_mw,frp_p75_mw,frp_p90_mw,frp_p95_mw,frp_min_mw,frp_max_mw,detection_mean,detection_median,detection_p75,detection_p90,detection_p95,detection_max,median_gap_days,mean_gap_days,max_gap_days,mean_daily_detections,mean_daily_total_frp_mw
Essar Power,2026-04-05,2026-04-08,4,2,0.5,4.035,4.035,4.277996026178612,5.547499999999999,6.455,6.757499999999999,1.01,7.06,1.0,1.0,1.0,1.0,1.0,1,3.0,3.0,3.0,1.0,4.035
Lalpur,2026-03-14,2026-03-14,1,1,1.0,20.71,20.71,,20.71,20.71,20.71,20.71,20.71,1.0,1.0,1.0,1.0,1.0,1,,,,1.0,20.71
Modpar,2026-05-02,2026-05-02,1,1,1.0,16.38,16.38,,16.38,16.38,16.38,16.38,16.38,1.0,1.0,1.0,1.0,1.0,1,,,,1.0,16.38
Moti Rafudad,2026-03-18,2026-03-31,14,2,0.14285714285714285,11.31,11.31,10.847018023401638,15.145,17.446,18.213,3.64,18.98,1.0,1.0,1.0,1.0,1.0,1,13.0,13.0,13.0,1.0,11.31
Pipli,2026-03-27,2026-03-27,1,1,1.0,28.55,28.55,,28.55,28.55,28.55,28.55,28.55,1.0,1.0,1.0,1.0,1.0,1,,,,1.0,28.55
Reliance Refinery,2026-03-04,2026-08-26,176,48,0.2727272727272727,3.607083333333333,3.175,2.4542000112125053,4.0175,4.989000000000005,7.5234999999999985,0.99,16.63,1.25,1.0,1.25,2.0,2.0,2,2.0,3.723404255319149,17.0,1.25,4.43
SHREE DIGVIJAY CEMENT,2026-03-01,2026-04-10,41,10,0.24390243902439024,1.048,1.15,0.29050913162163344,1.24,1.347,1.3784999999999998,0.59,1.41,1.0,1.0,1.0,1.0,1.0,1,2.0,4.444444444444445,14.0,1.0,1.048
Sapar,2026-03-28,2026-03-28,1,1,1.0,13.36,13.36,,13.36,13.36,13.36,13.36,13.36,1.0,1.0,1.0,1.0,1.0,1,,,,1.0,13.36
Sikka,2026-03-19,2026-03-19,1,1,1.0,0.49,0.49,,0.49,0.49,0.49,0.49,0.49,1.0,1.0,1.0,1.0,1.0,1,,,,1.0,0.49
UNKNOWN,2026-03-09,2026-06-21,105,16,0.1523809523809524,9.226875,7.725,6.342352580076261,13.1475,14.59,18.215,1.67,26.69,1.25,1.0,1.0,1.5,2.5,4,3.0,6.933333333333334,46.0,1.25,9.786875
Vadinar Refinery,2026-03-19,2026-06-04,78,22,0.28205128205128205,6.001818181818183,4.29,4.75585817839294,9.8375,11.039000000000001,15.439499999999997,1.01,16.01,1.3181818181818181,1.0,2.0,2.0,2.0,2,1.0,3.6666666666666665,27.0,1.3181818181818181,7.020454545454545
