facility_name,acq_date,detection_count,max_frp_mw,mean_frp_mw,total_frp_mw,latitude_mean,longitude_mean
Essar Power,2026-04-05,1,7.06,7.06,7.06,22.33744,69.71162
Essar Power,2026-04-08,1,1.01,1.01,1.01,22.31271,69.71579
Lalpur,2026-03-14,1,20.71,20.71,20.71,22.20038,69.95724
Modpar,2026-05-02,1,16.38,16.38,16.38,22.25767,69.79171
Moti Rafudad,2026-03-18,1,3.64,3.64,3.64,22.20309,69.89776
Moti Rafudad,2026-03-31,1,18.98,18.98,18.98,22.25853,69.89301
Pipli,2026-03-27,1,28.55,28.55,28.55,22.37992,69.95703
Reliance Refinery,2026-03-04,1,3.88,3.88,3.88,22.33814,69.8543
Reliance Refinery,2026-03-05,2,2.84,2.17,4.34,22.337069999999997,69.86148
Reliance Refinery,2026-03-09,1,3.22,3.22,3.22,22.33847,69.85462
Reliance Refinery,2026-03-10,2,3.2,2.875,5.75,22.33683,69.86197
Reliance Refinery,2026-03-11,1,2.06,2.06,2.06,22.34086,69.85392
Reliance Refinery,2026-03-13,1,0.99,0.99,0.99,22.31238,69.85453
Reliance Refinery,2026-03-16,1,2.39,2.39,2.39,22.33952,69.85422
Reliance Refinery,2026-03-19,2,1.98,1.49,2.98,22.33694,69.86202
Reliance Refinery,2026-03-21,2,7.8,4.965,9.93,22.332414999999997,69.839055
Reliance Refinery,2026-03-26,1,2.15,2.15,2.15,22.3382,69.85419
Reliance Refinery,2026-03-27,1,3.15,3.15,3.15,22.3405,69.85612
Reliance Refinery,2026-03-28,1,2.96,2.96,2.96,22.33166,69.86633
Reliance Refinery,2026-03-30,1,3.81,3.81,3.81,22.33843,69.85404
Reliance Refinery,2026-03-31,1,2.98,2.98,2.98,22.33841,69.85287
Reliance Refinery,2026-04-06,2,2.21,1.915,3.83,22.337305,69.860775
Reliance Refinery,2026-04-22,1,3.21,3.21,3.21,22.33941,69.85428
Reliance Refinery,2026-05-03,1,8.14,8.14,8.14,22.35215,69.8322
Reliance Refinery,2026-05-05,1,4.16,4.16,4.16,22.32329,69.87823
Reliance Refinery,2026-05-06,1,2.09,2.09,2.09,22.33965,69.86987
Reliance Refinery,2026-05-14,1,3.59,3.59,3.59,22.3218,69.88053
Reliance Refinery,2026-05-23,1,1.97,1.97,1.97,22.3384,69.85451
Reliance Refinery,2026-05-29,1,1.95,1.95,1.95,22.33627,69.86784
Reliance Refinery,2026-06-03,1,2.16,2.16,2.16,22.33898,69.85458
Reliance Refinery,2026-06-06,1,3.51,3.51,3.51,22.34049,69.85591
Reliance Refinery,2026-06-08,1,4.54,4.54,4.54,22.31896,69.884235
Reliance Refinery,2026-06-09,2,16.63,15.614999999999998,31.229999999999997,22.321526499999997,69.8828075
Reliance Refinery,2026-06-12,1,2.24,2.24,2.24,22.33482,69.8681
Reliance Refinery,2026-06-14,1,3.86,3.86,3.86,22.34205,69.8616
Reliance Refinery,2026-06-15,1,3.97,3.97,3.97,22.343095,69.86753
Reliance Refinery,2026-06-17,2,3.47,2.745,5.49,22.3285135,69.87277499999999
Reliance Refinery,2026-06-19,1,3.09,3.09,3.09,22.33996,69.85391
Reliance Refinery,2026-06-20,1,4.58,4.58,4.58,22.34022,69.85422
Reliance Refinery,2026-06-22,1,3.85,3.85,3.85,22.33511,69.86858
Reliance Refinery,2026-06-23,2,2.99,2.79,5.58,22.33925,69.861515
Reliance Refinery,2026-06-25,1,4.65,4.65,4.65,22.33689,69.86764
Reliance Refinery,2026-06-27,2,3.08,3.065,6.13,22.33102,69.86825999999999
Reliance Refinery,2026-06-28,1,1.18,1.18,1.18,22.33986,69.85631
Reliance Refinery,2026-06-29,2,4.19,3.955,7.91,22.336095,69.86108
Reliance Refinery,2026-06-30,2,4.4,4.03,8.06,22.336534999999998,69.86128
Reliance Refinery,2026-07-08,1,3.26,3.26,3.26,22.33493,69.86871
Reliance Refinery,2026-07-16,1,4.27,4.27,4.27,22.3349,69.86817
Reliance Refinery,2026-07-18,1,5.78,5.78,5.78,22.33016,69.86285
Reliance Refinery,2026-08-04,1,1.84,1.84,1.84,22.34027,69.85518
Reliance Refinery,2026-08-09,2,1.23,1.145,2.29,22.338835,69.86110500000001
Reliance Refinery,2026-08-14,1,2.08,2.08,2.08,22.33806,69.85318
Reliance Refinery,2026-08-24,1,7.01,7.01,7.01,22.341883,69.867067
Reliance Refinery,2026-08-25,1,3.06,3.06,3.06,22.340585,69.85508
Reliance Refinery,2026-08-26,1,1.49,1.49,1.49,22.321085,69.88206
SHREE DIGVIJAY CEMENT,2026-03-01,1,0.59,0.59,0.59,22.43036,69.83382
SHREE DIGVIJAY CEMENT,2026-03-02,1,0.63,0.63,0.63,22.43116,69.83365
SHREE DIGVIJAY CEMENT,2026-03-03,1,0.82,0.82,0.82,22.42865,69.83251
SHREE DIGVIJAY CEMENT,2026-03-05,1,1.2,1.2,1.2,22.43112,69.83326
SHREE DIGVIJAY CEMENT,2026-03-09,1,1.25,1.25,1.25,22.42984,69.83475
SHREE DIGVIJAY CEMENT,2026-03-10,1,0.93,0.93,0.93,22.43023,69.83325
SHREE DIGVIJAY CEMENT,2026-03-17,1,1.21,1.21,1.21,22.42875,69.83257
SHREE DIGVIJAY CEMENT,2026-03-25,1,1.34,1.34,1.34,22.42959,69.83186
SHREE DIGVIJAY CEMENT,2026-03-27,1,1.41,1.41,1.41,22.43019,69.83276
SHREE DIGVIJAY CEMENT,2026-04-10,1,1.1,1.1,1.1,22.43124,69.83454
Sapar,2026-03-28,1,13.36,13.36,13.36,22.4136,69.89274
Sikka,2026-03-19,1,0.49,0.49,0.49,22.42703,69.83289
UNKNOWN,2026-03-09,1,5.17,5.17,5.17,22.408525,69.884515
UNKNOWN,2026-03-16,1,8.48,8.48,8.48,22.40389,69.85317
UNKNOWN,2026-03-17,1,12.98,12.98,12.98,22.39936,69.86004
UNKNOWN,2026-03-18,1,26.69,26.69,26.69,22.433355,69.99164
UNKNOWN,2026-03-21,4,6.03,3.475,13.9,22.413495,69.9859375
UNKNOWN,2026-03-22,1,11.25,11.25,11.25,22.43778,69.99409
UNKNOWN,2026-03-25,1,13.79,13.79,13.79,22.38413,69.9849
UNKNOWN,2026-03-26,1,15.39,15.39,15.39,22.43152,69.97115
UNKNOWN,2026-03-28,1,3.08,3.08,3.08,22.29349,69.98151
UNKNOWN,2026-04-08,1,1.67,1.67,1.67,22.39186,69.87063
UNKNOWN,2026-04-10,1,4.68,4.68,4.68,22.39724,69.82426
UNKNOWN,2026-04-18,1,13.65,13.65,13.65,22.45119,69.98673
UNKNOWN,2026-04-19,1,9.06,9.06,9.06,22.20879,69.74622
UNKNOWN,2026-05-01,2,6.97,4.03,8.06,22.414085,69.93281999999999
