facility_name,first_observation,last_observation,observation_window_days,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,total_detections,maximum_frp_mw,mean_daily_max_frp_mw
Essar Power,2026-04-05,2026-04-08,4,2,0.5,3.0,3.0,1,2,7.06,4.035
Lalpur,2026-03-14,2026-03-14,1,1,1.0,,,1,1,20.71,20.71
Modpar,2026-05-02,2026-05-02,1,1,1.0,,,1,1,16.38,16.38
Moti Rafudad,2026-03-18,2026-03-31,14,2,0.1429,13.0,13.0,1,2,18.98,11.31
Pipli,2026-03-27,2026-03-27,1,1,1.0,,,1,1,28.55,28.55
Reliance Refinery,2026-03-04,2026-08-26,176,48,0.2727,2.0,17.0,4,60,16.63,3.607083333333333
SHREE DIGVIJAY CEMENT,2026-03-01,2026-04-10,41,10,0.2439,2.0,14.0,3,10,1.41,1.048
Sapar,2026-03-28,2026-03-28,1,1,1.0,,,1,1,13.36,13.36
Sikka,2026-03-19,2026-03-19,1,1,1.0,,,1,1,0.49,0.49
UNKNOWN,2026-03-09,2026-06-21,105,16,0.1524,3.0,46.0,3,20,26.69,9.226875
Vadinar Refinery,2026-03-19,2026-06-04,78,22,0.2821,1.0,27.0,6,29,16.01,6.001818181818183
