event_id,region_id,latitude,longitude,acq_date,acq_time,observation_count,satellite_count,satellites,frp,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km
EVT_20260301_0001,jamnagar,22.43036,69.83382,2026-03-01,2036,1,1,N21,0.59,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260302_0002,jamnagar,22.43116,69.83365,2026-03-02,2018,1,1,N21,0.63,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260303_0003,jamnagar,22.42865,69.83251,2026-03-03,2140,1,1,N21,0.82,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260304_0004,jamnagar,22.33814,69.8543,2026-03-04,2120,1,1,N21,3.88,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260305_0005,jamnagar,22.33741,69.85396,2026-03-05,2101,2,1,N21,1.5,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260305_0006,jamnagar,22.33673,69.869,2026-03-05,2101,1,1,N21,2.84,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260305_0007,jamnagar,22.43112,69.83326,2026-03-05,2101,1,1,N21,1.2,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260309_0008,jamnagar,22.408525,69.884515,2026-03-09,858,2,1,N21,5.17,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,139787908.0,,,industrial,,,1.457
EVT_20260309_0009,jamnagar,22.33847,69.85462,2026-03-09,2125,1,1,N21,3.22,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260309_0010,jamnagar,22.42984,69.83475,2026-03-09,2125,1,1,N21,1.25,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260310_0011,jamnagar,22.33586,69.86778,2026-03-10,2108,1,1,N21,2.55,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260310_0012,jamnagar,22.3378,69.85616,2026-03-10,2108,1,1,N21,3.2,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260310_0013,jamnagar,22.43023,69.83325,2026-03-10,2108,1,1,N21,0.93,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260311_0014,jamnagar,22.34086,69.85392,2026-03-11,2049,1,1,N21,2.06,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260313_0015,jamnagar,22.31238,69.85453,2026-03-13,2012,1,1,N21,0.99,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260314_0016,jamnagar,22.20038,69.95724,2026-03-14,905,1,1,N21,20.71,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,225236351.0,Lalpur,,,substation,,1.621
EVT_20260316_0017,jamnagar,22.40389,69.85317,2026-03-16,826,1,1,N21,8.48,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,139793158.0,,,industrial,,,0.947
EVT_20260316_0018,jamnagar,22.33952,69.85422,2026-03-16,2055,1,1,N21,2.39,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0
EVT_20260317_0019,jamnagar,22.39936,69.86004,2026-03-17,807,1,1,N21,12.98,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,139793158.0,,,industrial,,,0.275
EVT_20260317_0020,jamnagar,22.42875,69.83257,2026-03-17,2036,1,1,N21,1.21,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0
EVT_20260318_0021,jamnagar,22.20309,69.89776,2026-03-18,750,1,1,N21,3.64,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,440206109.0,Moti Rafudad,,,substation,,3.522
