event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260301_0001,jamnagar,OBS_00000,22.43036,69.83382,2026-03-01,2036,N21,0.59,n,VIIRS,N
EVT_20260302_0002,jamnagar,OBS_00001,22.43116,69.83365,2026-03-02,2018,N21,0.63,n,VIIRS,N
EVT_20260303_0003,jamnagar,OBS_00002,22.42865,69.83251,2026-03-03,2140,N21,0.82,n,VIIRS,N
EVT_20260304_0004,jamnagar,OBS_00003,22.33814,69.8543,2026-03-04,2120,N21,3.88,n,VIIRS,N
EVT_20260305_0005,jamnagar,OBS_00004,22.33577,69.85366,2026-03-05,2101,N21,1.5,n,VIIRS,N
EVT_20260305_0005,jamnagar,OBS_00006,22.33905,69.85426,2026-03-05,2101,N21,1.5,n,VIIRS,N
EVT_20260305_0006,jamnagar,OBS_00005,22.33673,69.869,2026-03-05,2101,N21,2.84,n,VIIRS,N
EVT_20260305_0007,jamnagar,OBS_00007,22.43112,69.83326,2026-03-05,2101,N21,1.2,n,VIIRS,N
EVT_20260309_0008,jamnagar,OBS_00008,22.40689,69.88313,2026-03-09,858,N21,4.78,n,VIIRS,D
EVT_20260309_0008,jamnagar,OBS_00009,22.41016,69.8859,2026-03-09,858,N21,5.17,n,VIIRS,D
EVT_20260309_0009,jamnagar,OBS_00010,22.33847,69.85462,2026-03-09,2125,N21,3.22,n,VIIRS,N
EVT_20260309_0010,jamnagar,OBS_00011,22.42984,69.83475,2026-03-09,2125,N21,1.25,n,VIIRS,N
EVT_20260310_0011,jamnagar,OBS_00012,22.33586,69.86778,2026-03-10,2108,N21,2.55,n,VIIRS,N
EVT_20260310_0012,jamnagar,OBS_00013,22.3378,69.85616,2026-03-10,2108,N21,3.2,n,VIIRS,N
EVT_20260310_0013,jamnagar,OBS_00014,22.43023,69.83325,2026-03-10,2108,N21,0.93,n,VIIRS,N
EVT_20260311_0014,jamnagar,OBS_00015,22.34086,69.85392,2026-03-11,2049,N21,2.06,n,VIIRS,N
EVT_20260313_0015,jamnagar,OBS_00016,22.31238,69.85453,2026-03-13,2012,N21,0.99,n,VIIRS,N
EVT_20260314_0016,jamnagar,OBS_00017,22.20038,69.95724,2026-03-14,905,N21,20.71,n,VIIRS,D
EVT_20260316_0017,jamnagar,OBS_00018,22.40389,69.85317,2026-03-16,826,N21,8.48,n,VIIRS,D
EVT_20260316_0018,jamnagar,OBS_00019,22.33952,69.85422,2026-03-16,2055,N21,2.39,n,VIIRS,N
EVT_20260317_0019,jamnagar,OBS_00020,22.39936,69.86004,2026-03-17,807,N21,12.98,n,VIIRS,D
EVT_20260317_0020,jamnagar,OBS_00021,22.42875,69.83257,2026-03-17,2036,N21,1.21,n,VIIRS,N
EVT_20260318_0021,jamnagar,OBS_00022,22.20309,69.89776,2026-03-18,750,N21,3.64,n,VIIRS,D
EVT_20260318_0022,jamnagar,OBS_00023,22.4318,69.99132,2026-03-18,930,N21,24.22,h,VIIRS,D
EVT_20260318_0022,jamnagar,OBS_00024,22.43491,69.99196,2026-03-18,930,N21,26.69,h,VIIRS,D
EVT_20260319_0023,jamnagar,OBS_00025,22.32976,69.75134,2026-03-19,2140,N21,1.01,n,VIIRS,N
EVT_20260319_0024,jamnagar,OBS_00026,22.33289,69.86809,2026-03-19,2140,N21,1.98,n,VIIRS,N
EVT_20260319_0025,jamnagar,OBS_00027,22.34099,69.85595,2026-03-19,2140,N21,1.0,n,VIIRS,N
EVT_20260319_0026,jamnagar,OBS_00028,22.42703,69.83289,2026-03-19,2140,N21,0.49,n,VIIRS,N
EVT_20260320_0027,jamnagar,OBS_00029,22.31723,69.79076,2026-03-20,852,N21,4.8,l,VIIRS,D
EVT_20260320_0028,jamnagar,OBS_00030,22.35819,69.79417,2026-03-20,852,N21,10.85,n,VIIRS,D
EVT_20260321_0029,jamnagar,OBS_00031,22.29692,69.99956,2026-03-21,835,N21,6.03,l,VIIRS,D
EVT_20260321_0030,jamnagar,OBS_00032,22.32512,69.82381,2026-03-21,835,N21,7.8,n,VIIRS,D
EVT_20260321_0031,jamnagar,OBS_00033,22.44778,69.98093,2026-03-21,835,N21,3.38,l,VIIRS,D
EVT_20260321_0032,jamnagar,OBS_00034,22.44946,69.99204,2026-03-21,835,N21,1.08,l,VIIRS,D
EVT_20260321_0033,jamnagar,OBS_00035,22.45982,69.97122,2026-03-21,835,N21,3.41,l,VIIRS,D
EVT_20260321_0034,jamnagar,OBS_00036,22.33971,69.8543,2026-03-21,2101,N21,2.13,n,VIIRS,N
EVT_20260322_0035,jamnagar,OBS_00037,22.43778,69.99409,2026-03-22,813,N21,11.25,n,VIIRS,D
EVT_20260325_0036,jamnagar,OBS_00038,22.38413,69.9849,2026-03-25,858,N21,13.79,n,VIIRS,D
EVT_20260325_0037,jamnagar,OBS_00039,22.42959,69.83186,2026-03-25,2125,N21,1.34,n,VIIRS,N
EVT_20260326_0038,jamnagar,OBS_00040,22.35593,69.79166,2026-03-26,839,N21,15.67,l,VIIRS,D
EVT_20260326_0039,jamnagar,OBS_00041,22.43152,69.97115,2026-03-26,839,N21,15.39,l,VIIRS,D
EVT_20260326_0040,jamnagar,OBS_00042,22.3382,69.85419,2026-03-26,2108,N21,2.15,n,VIIRS,N
EVT_20260327_0041,jamnagar,OBS_00043,22.37992,69.95703,2026-03-27,820,N21,28.55,n,VIIRS,D
EVT_20260327_0042,jamnagar,OBS_00044,22.3405,69.85612,2026-03-27,2049,N21,3.15,n,VIIRS,N
EVT_20260327_0043,jamnagar,OBS_00045,22.43019,69.83276,2026-03-27,2049,N21,1.41,n,VIIRS,N
EVT_20260328_0044,jamnagar,OBS_00046,22.29349,69.98151,2026-03-28,803,N21,3.08,n,VIIRS,D
EVT_20260328_0045,jamnagar,OBS_00047,22.4136,69.89274,2026-03-28,803,N21,13.36,n,VIIRS,D
EVT_20260328_0046,jamnagar,OBS_00048,22.33166,69.86633,2026-03-28,2029,N21,2.96,n,VIIRS,N
EVT_20260330_0047,jamnagar,OBS_00049,22.33843,69.85404,2026-03-30,2131,N21,3.81,n,VIIRS,N
EVT_20260331_0048,jamnagar,OBS_00050,22.25853,69.89301,2026-03-31,845,N21,18.98,l,VIIRS,D
EVT_20260331_0049,jamnagar,OBS_00051,22.33841,69.85287,2026-03-31,2114,N21,2.98,n,VIIRS,N
EVT_20260405_0050,jamnagar,OBS_00052,22.33744,69.71162,2026-04-05,852,N21,7.06,l,VIIRS,D
EVT_20260406_0051,jamnagar,OBS_00053,22.33615,69.86816,2026-04-06,2101,N21,1.62,n,VIIRS,N
EVT_20260406_0052,jamnagar,OBS_00054,22.33846,69.85339,2026-04-06,2101,N21,2.21,n,VIIRS,N
EVT_20260408_0053,jamnagar,OBS_00055,22.39186,69.87063,2026-04-08,756,N21,1.67,n,VIIRS,D
EVT_20260408_0054,jamnagar,OBS_00056,22.31215,69.71574,2026-04-08,2023,N21,0.46,n,VIIRS,N
EVT_20260408_0054,jamnagar,OBS_00057,22.31327,69.71584,2026-04-08,2023,N21,1.01,n,VIIRS,N
EVT_20260409_0055,jamnagar,OBS_00058,22.32952,69.73843,2026-04-09,2146,N21,1.18,n,VIIRS,N
EVT_20260409_0055,jamnagar,OBS_00059,22.3314,69.74002,2026-04-09,2146,N21,1.58,n,VIIRS,N
EVT_20260410_0056,jamnagar,OBS_00060,22.39724,69.82426,2026-04-10,858,N21,4.68,l,VIIRS,D
EVT_20260410_0057,jamnagar,OBS_00061,22.33133,69.73916,2026-04-10,2125,N21,1.97,n,VIIRS,N
EVT_20260410_0057,jamnagar,OBS_00062,22.33212,69.73502,2026-04-10,2125,N21,1.2,n,VIIRS,N
EVT_20260410_0058,jamnagar,OBS_00063,22.43124,69.83454,2026-04-10,2125,N21,1.1,n,VIIRS,N
EVT_20260411_0059,jamnagar,OBS_00064,22.33292,69.7366,2026-04-11,2108,N21,1.72,n,VIIRS,N
EVT_20260412_0060,jamnagar,OBS_00065,22.33247,69.73551,2026-04-12,2046,N21,1.92,n,VIIRS,N
EVT_20260414_0061,jamnagar,OBS_00066,22.33009,69.73493,2026-04-14,2153,N21,1.82,n,VIIRS,N
EVT_20260418_0062,jamnagar,OBS_00067,22.45119,69.98673,2026-04-18,807,N21,13.65,n,VIIRS,D
EVT_20260419_0063,jamnagar,OBS_00068,22.20879,69.74622,2026-04-19,750,N21,9.06,n,VIIRS,D
EVT_20260422_0064,jamnagar,OBS_00069,22.33941,69.85428,2026-04-22,2101,N21,3.21,n,VIIRS,N
EVT_20260501_0065,jamnagar,OBS_00070,22.41263,69.93995,2026-05-01,905,N21,6.97,n,VIIRS,D
EVT_20260501_0066,jamnagar,OBS_00071,22.41554,69.92569,2026-05-01,2131,N21,1.09,n,VIIRS,N
EVT_20260502_0067,jamnagar,OBS_00072,22.25767,69.79171,2026-05-02,845,N21,16.38,l,VIIRS,D
EVT_20260503_0068,jamnagar,OBS_00073,22.35215,69.8322,2026-05-03,826,N21,8.14,l,VIIRS,D
EVT_20260505_0069,jamnagar,OBS_00074,22.32323,69.87736,2026-05-05,2019,N21,4.0,n,VIIRS,N
EVT_20260505_0069,jamnagar,OBS_00075,22.32335,69.8791,2026-05-05,2019,N21,4.16,n,VIIRS,N
EVT_20260506_0070,jamnagar,OBS_00076,22.29427,69.9338,2026-05-06,909,N21,5.08,n,VIIRS,D
EVT_20260506_0070,jamnagar,OBS_00077,22.29493,69.93437,2026-05-06,909,N21,6.21,n,VIIRS,D
EVT_20260506_0071,jamnagar,OBS_00078,22.33965,69.86987,2026-05-06,2138,N21,2.09,n,VIIRS,N
EVT_20260511_0072,jamnagar,OBS_00079,22.32724,69.73833,2026-05-11,2144,N21,1.26,n,VIIRS,N
EVT_20260512_0073,jamnagar,OBS_00080,22.32963,69.73843,2026-05-12,2125,N21,9.71,n,VIIRS,N
EVT_20260513_0074,jamnagar,OBS_00081,22.33224,69.73727,2026-05-13,837,N21,9.88,l,VIIRS,D
EVT_20260513_0075,jamnagar,OBS_00082,22.32934,69.7366,2026-05-13,2108,N21,1.18,n,VIIRS,N
EVT_20260513_0075,jamnagar,OBS_00083,22.33331,69.73341,2026-05-13,2108,N21,0.64,n,VIIRS,N
EVT_20260514_0076,jamnagar,OBS_00084,22.32113,69.88214,2026-05-14,2046,N21,3.59,n,VIIRS,N
EVT_20260514_0076,jamnagar,OBS_00085,22.32247,69.87892,2026-05-14,2046,N21,3.31,n,VIIRS,N
EVT_20260514_0077,jamnagar,OBS_00086,22.33116,69.73651,2026-05-14,2046,N21,3.17,n,VIIRS,N
EVT_20260514_0077,jamnagar,OBS_00087,22.33176,69.73208,2026-05-14,2046,N21,2.05,n,VIIRS,N
EVT_20260515_0078,jamnagar,OBS_00088,22.33148,69.73385,2026-05-15,2029,N21,8.27,n,VIIRS,N
EVT_20260516_0079,jamnagar,OBS_00089,22.32906,69.7291,2026-05-16,741,N21,8.68,n,VIIRS,D
EVT_20260516_0079,jamnagar,OBS_00090,22.33034,69.73445,2026-05-16,741,N21,8.68,n,VIIRS,D
EVT_20260516_0079,jamnagar,OBS_00091,22.33144,69.73557,2026-05-16,922,N21,10.05,n,VIIRS,D
