event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260301_0001,jamnagar,2026-03-01,2036,2036,22.43036,69.83382,0.59,0.59,0.59,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260302_0002,jamnagar,2026-03-02,2018,2018,22.43116,69.83365,0.63,0.63,0.63,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260303_0003,jamnagar,2026-03-03,2140,2140,22.42865,69.83251,0.82,0.82,0.82,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260304_0004,jamnagar,2026-03-04,2120,2120,22.33814,69.8543,3.88,3.88,3.88,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260305_0005,jamnagar,2026-03-05,2101,2101,22.33741,69.85396,1.5,1.5,3.0,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260305_0006,jamnagar,2026-03-05,2101,2101,22.33673,69.869,2.84,2.84,2.84,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260305_0007,jamnagar,2026-03-05,2101,2101,22.43112,69.83326,1.2,1.2,1.2,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260309_0008,jamnagar,2026-03-09,0858,0858,22.408525,69.884515,5.17,4.97,9.95,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260309_0009,jamnagar,2026-03-09,2125,2125,22.33847,69.85462,3.22,3.22,3.22,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260309_0010,jamnagar,2026-03-09,2125,2125,22.42984,69.83475,1.25,1.25,1.25,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260310_0011,jamnagar,2026-03-10,2108,2108,22.33586,69.86778,2.55,2.55,2.55,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260310_0012,jamnagar,2026-03-10,2108,2108,22.3378,69.85616,3.2,3.2,3.2,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260310_0013,jamnagar,2026-03-10,2108,2108,22.43023,69.83325,0.93,0.93,0.93,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260311_0014,jamnagar,2026-03-11,2049,2049,22.34086,69.85392,2.06,2.06,2.06,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260313_0015,jamnagar,2026-03-13,2012,2012,22.31238,69.85453,0.99,0.99,0.99,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260314_0016,jamnagar,2026-03-14,0905,0905,22.20038,69.95724,20.71,20.71,20.71,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260316_0017,jamnagar,2026-03-16,0826,0826,22.40389,69.85317,8.48,8.48,8.48,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260316_0018,jamnagar,2026-03-16,2055,2055,22.33952,69.85422,2.39,2.39,2.39,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260317_0019,jamnagar,2026-03-17,0807,0807,22.39936,69.86004,12.98,12.98,12.98,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260317_0020,jamnagar,2026-03-17,2036,2036,22.42875,69.83257,1.21,1.21,1.21,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260318_0021,jamnagar,2026-03-18,0750,0750,22.20309,69.89776,3.64,3.64,3.64,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260318_0022,jamnagar,2026-03-18,0930,0930,22.433355,69.99164,26.69,25.46,50.91,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260319_0023,jamnagar,2026-03-19,2140,2140,22.32976,69.75134,1.01,1.01,1.01,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260319_0024,jamnagar,2026-03-19,2140,2140,22.33289,69.86809,1.98,1.98,1.98,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260319_0025,jamnagar,2026-03-19,2140,2140,22.34099,69.85595,1.0,1.0,1.0,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260319_0026,jamnagar,2026-03-19,2140,2140,22.42703,69.83289,0.49,0.49,0.49,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260320_0027,jamnagar,2026-03-20,0852,0852,22.31723,69.79076,4.8,4.8,4.8,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260320_0028,jamnagar,2026-03-20,0852,0852,22.35819,69.79417,10.85,10.85,10.85,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260321_0029,jamnagar,2026-03-21,0835,0835,22.29692,69.99956,6.03,6.03,6.03,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260321_0030,jamnagar,2026-03-21,0835,0835,22.32512,69.82381,7.8,7.8,7.8,1,1,N21,LOW,spatial_temporal_bfs
