event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,source_class,classification_confidence,industrial_evidence_score,evidence,osm_intersections,osm_nearby_features,nearest_osm_name,nearest_osm_distance_m,nearest_osm_strength
EVT_20260301_0001,22.43036,69.83382,2026-03-01,2036,0.59,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260302_0002,22.43116,69.83365,2026-03-02,2018,0.63,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260303_0003,22.42865,69.83251,2026-03-03,2140,0.82,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,5,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260304_0004,22.33814,69.8543,2026-03-04,2120,3.88,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,42,Reliance Refinery,0.0,STRONG
EVT_20260305_0005,22.33741,69.85396,2026-03-05,2101,1.5,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,43,Reliance Refinery,0.0,STRONG
EVT_20260305_0006,22.33673,69.869,2026-03-05,2101,2.84,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,19,Reliance Refinery,0.0,STRONG
EVT_20260305_0007,22.43112,69.83326,2026-03-05,2101,1.2,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260309_0008,22.408525,69.884515,2026-03-09,858,5.17,2,UNKNOWN,LOW,0,,0,0,,,
EVT_20260309_0009,22.33847,69.85462,2026-03-09,2125,3.22,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,40,Reliance Refinery,0.0,STRONG
EVT_20260309_0010,22.42984,69.83475,2026-03-09,2125,1.25,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260310_0011,22.33586,69.86778,2026-03-10,2108,2.55,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
EVT_20260310_0012,22.3378,69.85616,2026-03-10,2108,3.2,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,38,Reliance Refinery,0.0,STRONG
EVT_20260310_0013,22.43023,69.83325,2026-03-10,2108,0.93,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260311_0014,22.34086,69.85392,2026-03-11,2049,2.06,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,31,Reliance Refinery,0.0,STRONG
EVT_20260313_0015,22.31238,69.85453,2026-03-13,2012,0.99,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,2,Reliance Refinery,0.0,STRONG
EVT_20260314_0016,22.20038,69.95724,2026-03-14,905,20.71,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260316_0017,22.40389,69.85317,2026-03-16,826,8.48,1,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,943.4539491470094,MODERATE
EVT_20260316_0018,22.33952,69.85422,2026-03-16,2055,2.39,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,35,Reliance Refinery,0.0,STRONG
EVT_20260317_0019,22.39936,69.86004,2026-03-17,807,12.98,1,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,274.3979393933029,MODERATE
EVT_20260317_0020,22.42875,69.83257,2026-03-17,2036,1.21,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260318_0021,22.20309,69.89776,2026-03-18,750,3.64,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260318_0022,22.433355,69.99164,2026-03-18,930,26.69,2,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,600.2656892505447,MODERATE
EVT_20260319_0023,22.32976,69.75134,2026-03-19,2140,1.01,1,INDUSTRIAL_ASSOCIATED,HIGH,6,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby,1,37,Vadinar Refinery,0.0,STRONG
EVT_20260319_0024,22.33289,69.86809,2026-03-19,2140,1.98,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,28,Reliance Refinery,0.0,STRONG
EVT_20260319_0025,22.34099,69.85595,2026-03-19,2140,1.0,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,34,Reliance Refinery,0.0,STRONG
EVT_20260319_0026,22.42703,69.83289,2026-03-19,2140,0.49,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,5,Sikka,0.0,WEAK
EVT_20260320_0027,22.31723,69.79076,2026-03-20,852,4.8,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260320_0028,22.35819,69.79417,2026-03-20,852,10.85,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260321_0029,22.29692,69.99956,2026-03-21,835,6.03,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260321_0030,22.32512,69.82381,2026-03-21,835,7.8,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260321_0031,22.44778,69.98093,2026-03-21,835,3.38,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260321_0032,22.44946,69.99204,2026-03-21,835,1.08,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260321_0033,22.45982,69.97122,2026-03-21,835,3.41,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260321_0034,22.33971,69.8543,2026-03-21,2101,2.13,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,36,Reliance Refinery,0.0,STRONG
EVT_20260322_0035,22.43778,69.99409,2026-03-22,813,11.25,1,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,779.1222766284602,MODERATE
EVT_20260325_0036,22.38413,69.9849,2026-03-25,858,13.79,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260325_0037,22.42959,69.83186,2026-03-25,2125,1.34,1,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,4,SHREE DIGVIJAY CEMENT,49.569108971876545,MODERATE
EVT_20260326_0038,22.35593,69.79166,2026-03-26,839,15.67,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260326_0039,22.43152,69.97115,2026-03-26,839,15.39,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260326_0040,22.3382,69.85419,2026-03-26,2108,2.15,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,41,Reliance Refinery,0.0,STRONG
EVT_20260327_0041,22.37992,69.95703,2026-03-27,820,28.55,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260327_0042,22.3405,69.85612,2026-03-27,2049,3.15,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,33,Reliance Refinery,0.0,STRONG
EVT_20260327_0043,22.43019,69.83276,2026-03-27,2049,1.41,1,INDUSTRIAL_ASSOCIATED,HIGH,5,thermal_point_intersects_osm_feature;industrial_feature_nearby,1,4,SHREE DIGVIJAY CEMENT,0.0,MODERATE
EVT_20260328_0044,22.29349,69.98151,2026-03-28,803,3.08,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260328_0045,22.4136,69.89274,2026-03-28,803,13.36,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260328_0046,22.33166,69.86633,2026-03-28,2029,2.96,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,33,Reliance Refinery,0.0,STRONG
EVT_20260330_0047,22.33843,69.85404,2026-03-30,2131,3.81,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,40,Reliance Refinery,0.0,STRONG
EVT_20260331_0048,22.25853,69.89301,2026-03-31,845,18.98,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260331_0049,22.33841,69.85287,2026-03-31,2114,2.98,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,43,Reliance Refinery,0.0,STRONG
EVT_20260405_0050,22.33744,69.71162,2026-04-05,852,7.06,1,UNKNOWN,LOW,0,,0,0,,,
EVT_20260406_0051,22.33615,69.86816,2026-04-06,2101,1.62,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,23,Reliance Refinery,0.0,STRONG
EVT_20260406_0052,22.33846,69.85339,2026-04-06,2101,2.21,1,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,42,Reliance Refinery,0.0,STRONG
EVT_20260408_0053,22.39186,69.87063,2026-04-08,756,1.67,1,INDUSTRIAL_ASSOCIATED,MEDIUM,2,industrial_feature_nearby,0,1,,940.6835366717131,MODERATE
EVT_20260408_0054,22.31271,69.71579,2026-04-08,2023,1.01,2,INDUSTRIAL_ASSOCIATED,HIGH,5,strong_industrial_feature_nearby;industrial_feature_nearby,0,2,Essar Power,122.15623128695896,MODERATE
EVT_20260409_0055,22.33046,69.739225,2026-04-09,2146,1.58,2,INDUSTRIAL_ASSOCIATED,HIGH,8,thermal_point_intersects_osm_feature;strong_industrial_feature_nearby;industrial_feature_nearby,1,16,Vadinar Refinery,0.0,STRONG
