event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260301_0001,2026-03-01,2036,2036,1,1,N21,0.59,0.59,0.59,22.43036,69.83382,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260302_0002,2026-03-02,2018,2018,1,1,N21,0.63,0.63,0.63,22.43116,69.83365,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260303_0003,2026-03-03,2140,2140,1,1,N21,0.82,0.82,0.82,22.42865,69.83251,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260304_0004,2026-03-04,2120,2120,1,1,N21,3.88,3.88,3.88,22.33814,69.8543,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260305_0005,2026-03-05,2101,2101,2,1,N21,1.5,3.0,1.5,22.33741,69.85396,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260305_0006,2026-03-05,2101,2101,1,1,N21,2.84,2.84,2.84,22.33673,69.869,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260305_0007,2026-03-05,2101,2101,1,1,N21,1.2,1.2,1.2,22.43112,69.83326,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260309_0008,2026-03-09,858,858,2,1,N21,5.17,9.95,4.97,22.408525,69.884515,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,139787908.0,,,industrial,,,1.457,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
EVT_20260309_0009,2026-03-09,2125,2125,1,1,N21,3.22,3.22,3.22,22.33847,69.85462,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260309_0010,2026-03-09,2125,2125,1,1,N21,1.25,1.25,1.25,22.42984,69.83475,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260310_0011,2026-03-10,2108,2108,1,1,N21,2.55,2.55,2.55,22.33586,69.86778,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260310_0012,2026-03-10,2108,2108,1,1,N21,3.2,3.2,3.2,22.3378,69.85616,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260310_0013,2026-03-10,2108,2108,1,1,N21,0.93,0.93,0.93,22.43023,69.83325,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,321060506.0,SHREE DIGVIJAY CEMENT,,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: SHREE DIGVIJAY CEMENT; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260311_0014,2026-03-11,2049,2049,1,1,N21,2.06,2.06,2.06,22.34086,69.85392,BUILT_UP,BUILT_UP,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,HIGH,VERY_HIGH,OSM industrial association + built-up WorldCover context,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=BUILT_UP,Thermal observation spatially associated with industrial infrastructure
EVT_20260313_0015,2026-03-13,2012,2012,1,1,N21,0.99,0.99,0.99,22.31238,69.85453,SHRUBLAND,NATURAL,OSM_FEATURE_INTERSECTION,HIGH,way,91585872.0,Reliance Refinery,refinery,industrial,,,0.0,INDUSTRIAL_ASSOCIATED,INDUSTRIAL_ASSOCIATED,MEDIUM,HIGH,OSM industrial association; WorldCover context=NATURAL,Thermal point intersects mapped industrial feature: Reliance Refinery; WorldCover=SHRUBLAND,Thermal observation spatially associated with industrial infrastructure
EVT_20260314_0016,2026-03-14,905,905,1,1,N21,20.71,20.71,20.71,22.20038,69.95724,CROPLAND,AGRICULTURAL,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,225236351.0,Lalpur,,,substation,,1.621,UNKNOWN,AGRICULTURAL,MEDIUM,MEDIUM,No strong OSM industrial association; WorldCover indicates cropland,No strong mapped industrial association; WorldCover=CROPLAND,Thermal observation occurs in cropland context; agricultural/biomass source is plausible
