latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.88946,78.07883,336.18,0.44,0.46,2026-03-02,745,N21,VIIRS,l,2.0NRT,310.31,3.6,D
8.52041,77.95682,330.98,0.48,0.65,2026-03-03,726,N21,VIIRS,l,2.0NRT,301.0,4.78,D
8.86701,78.15883,335.02,0.41,0.45,2026-03-05,828,N21,VIIRS,l,2.0NRT,305.29,3.18,D
8.84242,78.02834,333.37,0.53,0.42,2026-03-07,752,N21,VIIRS,l,2.0NRT,306.63,4.84,D
8.84543,78.02959,334.4,0.53,0.42,2026-03-07,752,N21,VIIRS,l,2.0NRT,307.05,1.94,D
8.88966,78.0834,342.95,0.51,0.5,2026-03-10,837,N21,VIIRS,n,2.0NRT,301.14,10.2,D
8.83324,77.90954,343.92,0.39,0.44,2026-03-21,828,N21,VIIRS,n,2.0NRT,306.77,9.7,D
8.76863,77.9106,344.49,0.38,0.36,2026-03-22,809,N21,VIIRS,n,2.0NRT,313.17,4.7,D
8.77193,77.91009,345.81,0.38,0.36,2026-03-22,809,N21,VIIRS,l,2.0NRT,316.33,4.7,D
8.87448,78.11445,333.52,0.51,0.49,2026-03-26,837,N21,VIIRS,l,2.0NRT,306.85,1.82,D
8.85956,77.9315,346.84,0.41,0.37,2026-03-27,816,N21,VIIRS,n,2.0NRT,315.29,7.53,D
8.77612,77.91001,332.88,0.59,0.53,2026-03-29,737,N21,VIIRS,l,2.0NRT,303.62,4.4,D
8.77632,77.91199,335.17,0.59,0.53,2026-03-29,737,N21,VIIRS,n,2.0NRT,303.62,4.13,D
8.77707,77.91525,334.78,0.59,0.53,2026-03-29,737,N21,VIIRS,n,2.0NRT,304.35,5.0,D
8.77722,77.91724,331.33,0.59,0.53,2026-03-29,737,N21,VIIRS,l,2.0NRT,304.47,4.13,D
8.77802,77.92047,344.49,0.59,0.53,2026-03-29,737,N21,VIIRS,n,2.0NRT,305.64,5.0,D
8.77813,77.92247,341.48,0.59,0.53,2026-03-29,737,N21,VIIRS,n,2.0NRT,305.59,3.63,D
8.77896,77.9257,335.57,0.59,0.53,2026-03-29,737,N21,VIIRS,n,2.0NRT,305.48,5.0,D
8.77903,77.9277,332.14,0.59,0.53,2026-03-29,737,N21,VIIRS,l,2.0NRT,305.83,3.63,D
8.85411,77.9365,339.36,0.48,0.4,2026-04-01,822,N21,VIIRS,l,2.0NRT,309.51,9.98,D
8.66887,77.99278,306.42,0.45,0.39,2026-04-09,2008,N21,VIIRS,n,2.0NRT,284.26,0.73,N
8.71105,77.9754,335.54,0.49,0.49,2026-04-11,835,N21,VIIRS,n,2.0NRT,303.7,3.58,D
8.71488,77.97033,344.14,0.49,0.49,2026-04-11,835,N21,VIIRS,n,2.0NRT,304.64,5.49,D
8.71549,77.97477,351.18,0.49,0.49,2026-04-11,835,N21,VIIRS,n,2.0NRT,305.24,14.08,D
8.71932,77.96969,343.13,0.49,0.49,2026-04-11,835,N21,VIIRS,n,2.0NRT,304.19,5.49,D
8.75284,77.92213,340.14,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,303.5,5.44,D
8.75305,77.91983,334.75,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,301.79,3.92,D
8.75367,77.92424,344.68,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,304.67,6.53,D
8.75668,77.91708,335.32,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,300.01,5.44,D
8.75686,77.91483,337.7,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,300.45,3.92,D
8.75727,77.92149,342.92,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,301.26,5.44,D
8.75748,77.9192,335.95,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,300.2,3.92,D
8.75786,77.92592,335.46,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,303.12,8.19,D
8.7581,77.92361,338.53,0.49,0.48,2026-04-11,835,N21,VIIRS,n,2.0NRT,302.56,6.53,D
8.82935,78.12801,335.01,0.41,0.37,2026-04-12,816,N21,VIIRS,l,2.0NRT,309.23,2.99,D
8.82488,78.0686,338.77,0.45,0.39,2026-04-13,758,N21,VIIRS,l,2.0NRT,306.76,3.21,D
8.88627,78.06699,351.38,0.45,0.39,2026-04-13,758,N21,VIIRS,n,2.0NRT,309.45,13.0,D
8.86806,78.12099,309.79,0.4,0.37,2026-04-14,2014,N21,VIIRS,n,2.0NRT,298.13,0.86,N
8.81549,77.94476,339.34,0.4,0.37,2026-04-18,803,N21,VIIRS,l,2.0NRT,312.51,6.17,D
8.80743,78.07175,330.48,0.39,0.44,2026-04-18,2040,N21,VIIRS,n,2.0NRT,296.69,6.12,N
8.80804,78.06824,337.45,0.39,0.44,2026-04-18,2040,N21,VIIRS,n,2.0NRT,296.61,6.12,N
8.80611,78.06895,336.31,0.46,0.47,2026-04-19,744,N21,VIIRS,l,2.0NRT,307.43,1.98,D
8.8828,78.00963,341.49,0.46,0.47,2026-04-19,744,N21,VIIRS,n,2.0NRT,304.56,9.83,D
8.66883,77.99357,307.66,0.38,0.36,2026-04-19,2019,N21,VIIRS,n,2.0NRT,297.08,0.56,N
8.86096,77.93629,337.51,0.4,0.6,2026-04-21,848,N21,VIIRS,n,2.0NRT,294.22,4.27,D
8.86143,77.93996,342.5,0.41,0.6,2026-04-21,848,N21,VIIRS,n,2.0NRT,294.4,4.21,D
8.88742,78.10432,332.1,0.37,0.58,2026-04-25,731,N21,VIIRS,l,2.0NRT,306.24,1.41,D
8.76714,78.04281,342.07,0.5,0.49,2026-04-27,835,N21,VIIRS,n,2.0NRT,292.29,6.11,D
8.77099,78.03771,330.19,0.5,0.49,2026-04-27,835,N21,VIIRS,n,2.0NRT,290.94,6.11,D
8.66993,77.99168,305.03,0.4,0.37,2026-04-30,2014,N21,VIIRS,n,2.0NRT,288.11,0.52,N
8.72846,78.10567,341.82,0.32,0.55,2026-05-02,841,N21,VIIRS,n,2.0NRT,293.37,3.87,D
8.78858,77.93148,333.67,0.47,0.47,2026-05-05,744,N21,VIIRS,n,2.0NRT,293.13,2.52,D
8.88589,78.04684,330.57,0.46,0.47,2026-05-05,744,N21,VIIRS,n,2.0NRT,284.49,8.57,D
8.74381,78.1442,334.87,0.48,0.4,2026-05-19,822,N21,VIIRS,n,2.0NRT,297.64,7.45,D
8.76474,78.09692,339.63,0.45,0.47,2026-05-21,744,N21,VIIRS,n,2.0NRT,297.17,7.66,D
8.86928,77.96659,337.08,0.46,0.47,2026-05-21,744,N21,VIIRS,n,2.0NRT,298.34,6.75,D
8.75298,78.09061,330.84,0.54,0.42,2026-05-26,750,N21,VIIRS,n,2.0NRT,298.58,3.25,D
8.75684,78.08998,334.52,0.54,0.42,2026-05-26,750,N21,VIIRS,n,2.0NRT,299.89,3.25,D
8.75027,78.0775,332.46,0.5,0.49,2026-05-29,835,N21,VIIRS,n,2.0NRT,299.02,5.25,D
8.85935,78.16643,308.54,0.32,0.55,2026-05-30,2051,N21,VIIRS,n,2.0NRT,288.05,1.43,N
8.74904,78.07733,334.73,0.4,0.37,2026-06-05,803,N21,VIIRS,n,2.0NRT,302.21,3.4,D
8.87605,78.00178,336.15,0.4,0.37,2026-06-05,803,N21,VIIRS,n,2.0NRT,300.61,1.96,D
8.85544,78.12857,336.53,0.4,0.44,2026-06-09,828,N21,VIIRS,n,2.0NRT,295.16,3.49,D
8.85594,78.13216,332.83,0.4,0.44,2026-06-09,828,N21,VIIRS,n,2.0NRT,294.21,2.23,D
8.67767,78.07226,332.45,0.41,0.37,2026-06-15,816,N21,VIIRS,n,2.0NRT,300.68,1.7,D
8.8802,78.11749,338.23,0.41,0.37,2026-06-15,816,N21,VIIRS,n,2.0NRT,305.18,5.64,D
8.88055,78.11755,339.19,0.41,0.37,2026-06-15,816,N21,VIIRS,n,2.0NRT,306.05,6.64,D
8.62939,78.07955,305.37,0.4,0.37,2026-06-17,2014,N21,VIIRS,n,2.0NRT,287.68,0.83,N
8.66783,77.99359,307.7,0.46,0.47,2026-06-18,1955,N21,VIIRS,n,2.0NRT,291.09,1.68,N
8.60638,77.97795,335.78,0.47,0.4,2026-06-20,822,N21,VIIRS,n,2.0NRT,300.15,3.43,D
8.65484,77.92022,331.94,0.47,0.4,2026-06-20,822,N21,VIIRS,l,2.0NRT,304.66,2.27,D
8.77614,77.95953,341.59,0.47,0.4,2026-06-20,822,N21,VIIRS,n,2.0NRT,310.38,10.14,D
8.6669,78.07897,333.0,0.41,0.61,2026-06-24,845,N21,VIIRS,n,2.0NRT,289.68,6.12,D
8.66739,78.08266,345.43,0.41,0.61,2026-06-24,845,N21,VIIRS,n,2.0NRT,288.7,6.12,D
8.57226,78.10987,344.64,0.39,0.44,2026-06-25,828,N21,VIIRS,n,2.0NRT,302.56,6.25,D
8.7097,77.95412,344.49,0.38,0.43,2026-06-25,828,N21,VIIRS,n,2.0NRT,301.61,6.73,D
8.75734,78.18155,333.72,0.4,0.44,2026-06-25,828,N21,VIIRS,n,2.0NRT,301.5,5.07,D
8.85334,77.9468,344.04,0.39,0.44,2026-06-25,828,N21,VIIRS,n,2.0NRT,304.03,5.69,D
8.85382,77.95029,335.07,0.39,0.44,2026-06-25,828,N21,VIIRS,n,2.0NRT,303.51,4.44,D
8.88041,78.14133,339.92,0.4,0.44,2026-06-25,828,N21,VIIRS,n,2.0NRT,301.05,4.36,D
8.88445,78.14075,336.41,0.4,0.44,2026-06-25,828,N21,VIIRS,n,2.0NRT,302.27,4.36,D
8.66945,77.99419,306.91,0.41,0.37,2026-06-27,2025,N21,VIIRS,n,2.0NRT,290.78,1.21,N
8.82188,78.05628,315.42,0.41,0.37,2026-06-27,2025,N21,VIIRS,n,2.0NRT,289.76,1.94,N
8.82248,78.05259,324.66,0.41,0.37,2026-06-27,2025,N21,VIIRS,n,2.0NRT,289.97,1.94,N
8.82998,77.9785,335.45,0.38,0.59,2026-06-28,731,N21,VIIRS,n,2.0NRT,294.1,1.58,D
8.85756,78.03976,352.57,0.38,0.58,2026-06-28,731,N21,VIIRS,n,2.0NRT,291.88,8.42,D
8.67023,77.99241,308.64,0.45,0.39,2026-06-28,2008,N21,VIIRS,n,2.0NRT,293.96,1.05,N
8.79237,78.02587,332.89,0.53,0.67,2026-06-29,854,N21,VIIRS,n,2.0NRT,289.48,1.81,D
8.81105,78.07692,330.77,0.53,0.67,2026-06-29,854,N21,VIIRS,n,2.0NRT,289.48,6.49,D
8.81163,78.08175,341.78,0.53,0.67,2026-06-29,854,N21,VIIRS,n,2.0NRT,289.77,6.49,D
8.56587,78.12151,335.13,0.5,0.49,2026-06-30,835,N21,VIIRS,n,2.0NRT,297.48,4.09,D
8.70381,78.10857,333.32,0.5,0.49,2026-06-30,835,N21,VIIRS,n,2.0NRT,296.33,3.42,D
8.89,78.05335,338.98,0.45,0.39,2026-07-02,756,N21,VIIRS,n,2.0NRT,305.86,3.92,D
8.89064,78.05739,340.49,0.45,0.39,2026-07-02,756,N21,VIIRS,n,2.0NRT,305.96,3.92,D
8.89418,78.05682,346.67,0.45,0.39,2026-07-02,756,N21,VIIRS,n,2.0NRT,306.72,5.48,D
8.51493,78.06141,339.18,0.64,0.54,2026-07-05,839,N21,VIIRS,n,2.0NRT,302.38,5.87,D
8.5155,78.06573,330.87,0.32,0.54,2026-07-05,839,N21,VIIRS,l,2.0NRT,302.0,5.37,D
8.61112,77.97647,330.47,0.63,0.54,2026-07-05,839,N21,VIIRS,l,2.0NRT,301.41,6.33,D
8.67558,78.04192,367.0,0.32,0.54,2026-07-05,839,N21,VIIRS,h,2.0NRT,304.02,5.75,D
8.67597,78.0448,343.41,0.32,0.54,2026-07-05,839,N21,VIIRS,n,2.0NRT,301.88,5.75,D
8.76077,78.18306,346.84,0.33,0.55,2026-07-05,839,N21,VIIRS,n,2.0NRT,305.45,4.84,D
8.75857,78.18122,342.74,0.49,0.4,2026-07-06,822,N21,VIIRS,l,2.0NRT,312.75,14.96,D
8.86743,78.15778,336.32,0.49,0.4,2026-07-06,822,N21,VIIRS,l,2.0NRT,310.51,3.88,D
8.75783,78.18495,304.64,0.42,0.61,2026-07-06,2057,N21,VIIRS,n,2.0NRT,291.3,1.82,N
8.75852,78.18118,312.77,0.42,0.61,2026-07-06,2057,N21,VIIRS,n,2.0NRT,291.35,2.26,N
8.69401,78.05341,337.8,0.4,0.37,2026-07-07,803,N21,VIIRS,n,2.0NRT,299.27,5.31,D
8.75867,78.18225,346.64,0.39,0.37,2026-07-07,803,N21,VIIRS,n,2.0NRT,302.62,13.66,D
8.86108,78.0523,345.17,0.4,0.37,2026-07-07,803,N21,VIIRS,n,2.0NRT,300.88,11.0,D
8.75811,78.18343,339.99,0.4,0.44,2026-07-07,2038,N21,VIIRS,n,2.0NRT,296.31,5.7,N
8.85192,78.13534,306.0,0.37,0.58,2026-07-10,1942,N21,VIIRS,n,2.0NRT,288.62,1.07,N
