facility_name,acq_date,detection_count,max_frp_mw,mean_frp_mw,total_frp_mw,frp_score,detection_score,frequency_score,behavior_score,behavior_state,reason,previous_active_days,baseline_start_date,baseline_end_date,baseline_activity_frequency,frp_p75_mw,frp_p90_mw,frp_p95_mw,detection_p75,detection_p90,detection_p95,assessment_basis
Arasadi,2026-03-02,1,3.6,3.6,3.6,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Arasadi,2026-03-10,1,10.2,10.2,10.2,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-03-02,2026-03-02,,,,,,,,Walk-forward facility-level historical thermal baseline
Arasadi,2026-04-13,1,13.0,13.0,13.0,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,2,2026-03-02,2026-03-10,,,,,,,,Walk-forward facility-level historical thermal baseline
Arasadi,2026-07-12,1,3.08,3.08,3.08,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,3,2026-03-02,2026-04-13,,,,,,,,Walk-forward facility-level historical thermal baseline
Arasadi,2026-07-29,1,8.12,8.12,8.12,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,4,2026-03-02,2026-07-12,,,,,,,,Walk-forward facility-level historical thermal baseline
DCW,2026-06-06,1,5.25,5.25,5.25,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
DCW,2026-06-25,1,6.25,6.25,6.25,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-06-06,2026-06-06,,,,,,,,Walk-forward facility-level historical thermal baseline
DCW,2026-06-30,1,4.09,4.09,4.09,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,2,2026-06-06,2026-06-25,,,,,,,,Walk-forward facility-level historical thermal baseline
DCW,2026-07-05,1,9.24,9.24,9.24,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,3,2026-06-06,2026-06-30,,,,,,,,Walk-forward facility-level historical thermal baseline
DCW,2026-07-17,1,3.86,3.86,3.86,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,4,2026-06-06,2026-07-05,,,,,,,,Walk-forward facility-level historical thermal baseline
DCW,2026-07-22,1,1.71,1.71,1.71,0.0,0.0,7.56,1.51,NORMAL,thermal behaviour is within the site's previous historical range,5,2026-06-06,2026-07-17,0.1087,6.25,8.044,8.642,1.0,1.0,1.0,Walk-forward facility-level historical thermal baseline
DCW,2026-07-23,1,3.6,3.6,3.6,0.0,0.0,10.19,2.04,NORMAL,thermal behaviour is within the site's previous historical range,6,2026-06-06,2026-07-22,0.1277,6.0,7.745,8.4925,1.0,1.0,1.0,Walk-forward facility-level historical thermal baseline
DCW,2026-07-24,2,5.43,4.445,8.89,0.0,100.0,12.38,37.48,NORMAL,detection count is well above the site's previous range,7,2026-06-06,2026-07-23,0.1458,5.75,7.446,8.343,1.0,1.0,1.0,Walk-forward facility-level historical thermal baseline
DCW,2026-07-26,1,4.14,4.14,4.14,0.0,0.0,8.33,1.67,NORMAL,thermal behaviour is within the site's previous historical range,8,2026-06-06,2026-07-24,0.16,5.635,7.147,8.1935,1.0,1.3,1.65,Walk-forward facility-level historical thermal baseline
DCW,2026-07-29,1,3.35,3.35,3.35,0.0,0.0,12.47,2.49,NORMAL,thermal behaviour is within the site's previous historical range,9,2026-06-06,2026-07-26,0.1698,5.43,6.848,8.044,1.0,1.2,1.6,Walk-forward facility-level historical thermal baseline
DCW,2026-08-28,1,5.17,5.17,5.17,0.0,0.0,0.0,0.0,NORMAL,thermal behaviour is within the site's previous historical range,10,2026-06-06,2026-07-29,0.1205,5.385,6.549,7.8945,1.0,1.1,1.55,Walk-forward facility-level historical thermal baseline
SEPC,2026-07-01,1,18.01,18.01,18.01,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBPGL,2026-04-14,1,0.86,0.86,0.86,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBPGL,2026-06-13,1,0.65,0.65,0.65,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-04-14,2026-04-14,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBPGL,2026-07-11,1,0.73,0.73,0.73,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,2,2026-04-14,2026-06-13,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBPGL,2026-07-26,1,0.49,0.49,0.49,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,3,2026-04-14,2026-07-11,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBPGL,2026-07-30,1,1.36,1.36,1.36,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,4,2026-04-14,2026-07-26,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBTPL power station,2026-05-05,1,8.57,8.57,8.57,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBTPL power station,2026-07-02,1,5.48,5.48,5.48,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,1,2026-05-05,2026-05-05,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBTPL power station,2026-07-28,1,6.34,6.34,6.34,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,2,2026-05-05,2026-07-02,,,,,,,,Walk-forward facility-level historical thermal baseline
Thoothukudi IBTPL power station,2026-08-09,1,9.0,9.0,9.0,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,3,2026-05-05,2026-07-28,,,,,,,,Walk-forward facility-level historical thermal baseline
UNKNOWN,2026-03-03,1,4.78,4.78,4.78,,,,,INSUFFICIENT_HISTORY,thermal behaviour is within the site's previous historical range,0,,,,,,,,,,Walk-forward facility-level historical thermal baseline
