facility_name,acq_date,detection_count,max_frp_mw,mean_frp_mw,total_frp_mw,latitude_mean,longitude_mean
Arasadi,2026-03-02,1,3.6,3.6,3.6,8.88946,78.07883
Arasadi,2026-03-10,1,10.2,10.2,10.2,8.88966,78.0834
Arasadi,2026-04-13,1,13.0,13.0,13.0,8.88627,78.06699
Arasadi,2026-07-12,1,3.08,3.08,3.08,8.89624,78.07236
Arasadi,2026-07-29,1,8.12,8.12,8.12,8.879297,78.085383
DCW,2026-06-06,1,5.25,5.25,5.25,8.60727,78.0759
DCW,2026-06-25,1,6.25,6.25,6.25,8.57256,78.11075
DCW,2026-06-30,1,4.09,4.09,4.09,8.56587,78.12151
DCW,2026-07-05,1,9.24,9.24,9.24,8.57296,78.08848
DCW,2026-07-17,1,3.86,3.86,3.86,8.60856,78.09164
DCW,2026-07-22,1,1.71,1.71,1.71,8.61174,78.1255
DCW,2026-07-23,1,3.6,3.6,3.6,8.597505,78.13128
DCW,2026-07-24,2,5.43,4.445,8.89,8.574405,78.09454
DCW,2026-07-26,1,4.14,4.14,4.14,8.60473,78.06739
DCW,2026-07-29,1,3.35,3.35,3.35,8.56658,78.06514
DCW,2026-08-28,1,5.17,5.17,5.17,8.566405,78.083805
SEPC,2026-07-01,1,18.01,18.01,18.01,8.745172,78.16344
Thoothukudi IBPGL,2026-04-14,1,0.86,0.86,0.86,8.86806,78.12099
Thoothukudi IBPGL,2026-06-13,1,0.65,0.65,0.65,8.86795,78.12238
Thoothukudi IBPGL,2026-07-11,1,0.73,0.73,0.73,8.86807,78.12141
Thoothukudi IBPGL,2026-07-26,1,0.49,0.49,0.49,8.86824,78.12153
Thoothukudi IBPGL,2026-07-30,1,1.36,1.36,1.36,8.86788,78.11977
Thoothukudi IBTPL power station,2026-05-05,1,8.57,8.57,8.57,8.88589,78.04684
Thoothukudi IBTPL power station,2026-07-02,1,5.48,5.48,5.48,8.891607,78.055853
Thoothukudi IBTPL power station,2026-07-28,1,6.34,6.34,6.34,8.89275,78.04395
Thoothukudi IBTPL power station,2026-08-09,1,9.0,9.0,9.0,8.898385,78.04115
UNKNOWN,2026-03-03,1,4.78,4.78,4.78,8.52041,77.95682
UNKNOWN,2026-03-05,1,3.18,3.18,3.18,8.86701,78.15883
UNKNOWN,2026-03-07,1,4.84,4.84,4.84,8.843925,78.028965
UNKNOWN,2026-03-21,1,9.7,9.7,9.7,8.83324,77.90954
UNKNOWN,2026-03-22,1,4.7,4.7,4.7,8.77028,77.910345
UNKNOWN,2026-03-26,1,1.82,1.82,1.82,8.87448,78.11445
UNKNOWN,2026-03-27,1,7.53,7.53,7.53,8.85956,77.9315
UNKNOWN,2026-03-29,1,5.0,5.0,5.0,8.777609,77.918854
UNKNOWN,2026-04-01,1,9.98,9.98,9.98,8.85411,77.9365
UNKNOWN,2026-04-09,1,0.73,0.73,0.73,8.66887,77.99278
UNKNOWN,2026-04-11,2,14.08,11.135,22.27,8.735582,77.946737
UNKNOWN,2026-04-12,1,2.99,2.99,2.99,8.82935,78.12801
UNKNOWN,2026-04-13,1,3.21,3.21,3.21,8.82488,78.0686
UNKNOWN,2026-04-18,2,6.17,6.145,12.29,8.811612499999999,78.0073775
UNKNOWN,2026-04-19,3,9.83,4.123333333333334,12.370000000000001,8.785913333333333,78.02405
UNKNOWN,2026-04-21,1,4.27,4.27,4.27,8.861195,77.938125
UNKNOWN,2026-04-25,1,1.41,1.41,1.41,8.88742,78.10432
UNKNOWN,2026-04-27,1,6.11,6.11,6.11,8.769065,78.04026
UNKNOWN,2026-04-30,1,0.52,0.52,0.52,8.66993,77.99168
UNKNOWN,2026-05-02,1,3.87,3.87,3.87,8.72846,78.10567
UNKNOWN,2026-05-05,1,2.52,2.52,2.52,8.78858,77.93148
UNKNOWN,2026-05-19,1,7.45,7.45,7.45,8.74381,78.1442
UNKNOWN,2026-05-21,2,7.66,7.205,14.41,8.81701,78.031755
UNKNOWN,2026-05-26,1,3.25,3.25,3.25,8.75491,78.090295
UNKNOWN,2026-05-29,1,5.25,5.25,5.25,8.75027,78.0775
UNKNOWN,2026-05-30,1,1.43,1.43,1.43,8.85935,78.16643
UNKNOWN,2026-06-01,2,10.95,8.504999999999999,17.009999999999998,8.775079999999999,77.989975
UNKNOWN,2026-06-02,3,2.21,1.9033333333333333,5.71,8.721833333333334,78.07177333333334
UNKNOWN,2026-06-05,2,3.4,2.6799999999999997,5.359999999999999,8.812545,78.03955500000001
UNKNOWN,2026-06-06,1,3.81,3.81,3.81,8.863175,78.131085
UNKNOWN,2026-06-08,1,0.76,0.76,0.76,8.77915,77.96409
UNKNOWN,2026-06-09,1,3.49,3.49,3.49,8.85569,78.130365
UNKNOWN,2026-06-14,1,6.35,6.35,6.35,8.77269,78.19781
UNKNOWN,2026-06-15,2,6.64,4.17,8.34,8.7790225,78.09488999999999
UNKNOWN,2026-06-17,1,0.83,0.83,0.83,8.62939,78.07955
UNKNOWN,2026-06-18,1,1.68,1.68,1.68,8.66783,77.99359
UNKNOWN,2026-06-19,1,5.15,5.15,5.15,8.882395,78.12329
UNKNOWN,2026-06-20,3,10.14,5.28,15.84,8.679093333333332,77.95241433333334
UNKNOWN,2026-06-24,1,6.12,6.12,6.12,8.667145,78.080815
UNKNOWN,2026-06-25,4,6.73,5.4625,21.85,8.80073925,78.05618625
UNKNOWN,2026-06-27,3,8.72,3.956666666666667,11.870000000000001,8.780634999999998,78.00812666666667
UNKNOWN,2026-06-28,3,8.42,3.6833333333333336,11.05,8.785923333333335,78.00355666666667
UNKNOWN,2026-06-29,6,6.49,3.0033333333333334,18.02,8.782636666666667,78.0393425
UNKNOWN,2026-06-30,3,4.29,3.5366666666666666,10.61,8.788516666666666,78.10732
UNKNOWN,2026-07-03,1,3.61,3.61,3.61,8.75918,78.18197
UNKNOWN,2026-07-05,6,6.54,5.59,33.54,8.642438833333333,78.06536083333333
UNKNOWN,2026-07-06,3,14.96,7.033333333333334,21.1,8.794915666666666,78.17405000000001
UNKNOWN,2026-07-07,4,13.66,8.9175,35.67,8.7677525,78.11763325
UNKNOWN,2026-07-08,1,7.96,7.96,7.96,8.75731,78.1812
UNKNOWN,2026-07-09,2,9.78,8.899999999999999,17.799999999999997,8.851685,77.969965
UNKNOWN,2026-07-10,1,1.07,1.07,1.07,8.85192,78.13534
UNKNOWN,2026-07-11,2,3.97,2.2800000000000002,4.5600000000000005,8.68234,78.021945
UNKNOWN,2026-07-12,3,13.62,7.78,23.34,8.696276666666668,78.07586666666667
UNKNOWN,2026-07-13,1,1.45,1.45,1.45,8.84894,78.13416
UNKNOWN,2026-07-14,1,1.21,1.21,1.21,8.70241,78.05972
UNKNOWN,2026-07-16,1,1.0,1.0,1.0,8.84957,78.13499
UNKNOWN,2026-07-18,2,8.37,7.845,15.69,8.801053499999998,78.0603115
UNKNOWN,2026-07-19,1,12.1,12.1,12.1,8.742296,77.95846
UNKNOWN,2026-07-20,1,2.03,2.03,2.03,8.84538,78.06369
UNKNOWN,2026-07-21,1,0.76,0.76,0.76,8.66998,77.99445
UNKNOWN,2026-07-22,1,1.27,1.27,1.27,8.84976,78.1354
UNKNOWN,2026-07-23,3,7.48,5.23,15.690000000000001,8.711336666666666,78.10802833333334
UNKNOWN,2026-07-24,10,7.79,4.102,41.02,8.703324,78.0464657
UNKNOWN,2026-07-25,4,14.62,5.3774999999999995,21.509999999999998,8.752497,78.010397
UNKNOWN,2026-07-26,2,8.42,5.875,11.75,8.698844999999999,78.045085
UNKNOWN,2026-07-27,4,11.53,5.395,21.58,8.6961,78.06671875
UNKNOWN,2026-07-29,4,8.35,4.39,17.56,8.79783125,78.15259125
UNKNOWN,2026-07-30,3,7.56,4.2,12.6,8.711686666666667,78.10647999999999
UNKNOWN,2026-07-31,1,12.5,12.5,12.5,8.75698,78.18044
UNKNOWN,2026-08-01,3,8.97,6.140000000000001,18.42,8.750649666666666,78.08773633333334
UNKNOWN,2026-08-04,1,16.78,16.78,16.78,8.77262,78.11182
UNKNOWN,2026-08-07,4,20.04,8.86,35.44,8.62399825,78.03145075
UNKNOWN,2026-08-09,2,5.35,4.46,8.92,8.84407,77.990665
UNKNOWN,2026-08-10,1,3.9,3.9,3.9,8.616597,77.950813
UNKNOWN,2026-08-12,2,48.72,24.96,49.92,8.630355000000002,77.95602500000001
UNKNOWN,2026-08-13,1,4.93,4.93,4.93,8.53019,78.08766
UNKNOWN,2026-08-15,2,2.86,1.63,3.26,8.78033,78.117485
UNKNOWN,2026-08-17,1,1.66,1.66,1.66,8.67144,77.99295
UNKNOWN,2026-08-18,5,8.91,4.226000000000001,21.130000000000003,8.73867,78.022772
UNKNOWN,2026-08-19,2,9.25,7.9350000000000005,15.870000000000001,8.763457500000001,78.003591
UNKNOWN,2026-08-20,1,1.92,1.92,1.92,8.73457,78.0784
UNKNOWN,2026-08-21,1,2.79,2.79,2.79,8.6787,78.06282
UNKNOWN,2026-08-28,7,7.52,3.3714285714285714,23.6,8.779692428571428,78.050536
UNKNOWN,2026-08-29,5,6.22,4.1259999999999994,20.63,8.735733999999999,78.054238
