event_id,region_id,latitude,longitude,acq_date,acq_time,observation_count,satellite_count,satellites,frp,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km
EVT_20260302_0001,thoothukudi,8.88946,78.07883,2026-03-02,745,1,1,N21,3.6,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,1.598
EVT_20260303_0002,thoothukudi,8.52041,77.95682,2026-03-03,726,1,1,N21,4.78,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1468877017.0,,,,plant,,3.427
EVT_20260305_0003,thoothukudi,8.86701,78.15883,2026-03-05,828,1,1,N21,3.18,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,2.445
EVT_20260307_0004,thoothukudi,8.843925,78.028965,2026-03-07,752,2,1,N21,4.84,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1432129272.0,,,,plant,,0.899
EVT_20260310_0005,thoothukudi,8.88966,78.0834,2026-03-10,837,1,1,N21,10.2,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,2.1
EVT_20260321_0006,thoothukudi,8.83324,77.90954,2026-03-21,828,1,1,N21,9.7,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260322_0007,thoothukudi,8.77028,77.910345,2026-03-22,809,2,1,N21,4.7,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260326_0008,thoothukudi,8.87448,78.11445,2026-03-26,837,1,1,N21,1.82,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906837209.0,,,industrial,,,1.084
EVT_20260327_0009,thoothukudi,8.85956,77.9315,2026-03-27,816,1,1,N21,7.53,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260329_0010,thoothukudi,8.777609,77.918854,2026-03-29,737,8,1,N21,5.0,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,4.286
EVT_20260401_0011,thoothukudi,8.85411,77.9365,2026-04-01,822,1,1,N21,9.98,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260409_0012,thoothukudi,8.66887,77.99278,2026-04-09,2008,1,1,N21,0.73,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260411_0013,thoothukudi,8.715185,77.972548,2026-04-11,835,4,1,N21,14.08,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260411_0014,thoothukudi,8.755979,77.920926,2026-04-11,835,9,1,N21,8.19,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,4.108
EVT_20260412_0015,thoothukudi,8.82935,78.12801,2026-04-12,816,1,1,N21,2.99,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,2.566
EVT_20260413_0016,thoothukudi,8.82488,78.0686,2026-04-13,758,1,1,N21,3.21,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,657801518.0,,,industrial,,,0.946
EVT_20260413_0017,thoothukudi,8.88627,78.06699,2026-04-13,758,1,1,N21,13.0,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,0.324
EVT_20260414_0018,thoothukudi,8.86806,78.12099,2026-04-14,2014,1,1,N21,0.86,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432381.0,Thoothukudi IBPGL,,,plant,,1.444
EVT_20260418_0019,thoothukudi,8.81549,77.94476,2026-04-18,803,1,1,N21,6.17,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260418_0020,thoothukudi,8.807735,78.069995,2026-04-18,2040,2,1,N21,6.12,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,661590305.0,,,industrial,,,1.165
EVT_20260419_0021,thoothukudi,8.80611,78.06895,2026-04-19,744,1,1,N21,1.98,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1073989741.0,,,industrial,,,1.276
EVT_20260419_0022,thoothukudi,8.8828,78.00963,2026-04-19,744,1,1,N21,9.83,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1516453098.0,,,industrial,,,1.68
EVT_20260419_0023,thoothukudi,8.66883,77.99357,2026-04-19,2019,1,1,N21,0.56,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260421_0024,thoothukudi,8.861195,77.938125,2026-04-21,848,2,1,N21,4.27,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260425_0025,thoothukudi,8.88742,78.10432,2026-04-25,731,1,1,N21,1.41,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906837209.0,,,industrial,,,0.732
EVT_20260427_0026,thoothukudi,8.769065,78.04026,2026-04-27,835,2,1,N21,6.11,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,823674462.0,,,industrial,,,3.355
EVT_20260430_0027,thoothukudi,8.66993,77.99168,2026-04-30,2014,1,1,N21,0.52,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260502_0028,thoothukudi,8.72846,78.10567,2026-05-02,841,1,1,N21,3.87,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,0.401
EVT_20260505_0029,thoothukudi,8.78858,77.93148,2026-05-05,744,1,1,N21,2.52,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,3.607
EVT_20260505_0030,thoothukudi,8.88589,78.04684,2026-05-05,744,1,1,N21,8.57,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432388.0,Thoothukudi IBTPL power station,,industrial,plant,,0.852
EVT_20260519_0031,thoothukudi,8.74381,78.1442,2026-05-19,822,1,1,N21,7.45,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831356.0,,,,,works,0.719
EVT_20260521_0032,thoothukudi,8.76474,78.09692,2026-05-21,744,1,1,N21,7.66,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1235088522.0,,,industrial,,,1.512
EVT_20260521_0033,thoothukudi,8.86928,77.96659,2026-05-21,744,1,1,N21,6.75,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260526_0034,thoothukudi,8.75491,78.090295,2026-05-26,750,2,1,N21,3.25,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1235088522.0,,,industrial,,,2.764
EVT_20260529_0035,thoothukudi,8.75027,78.0775,2026-05-29,835,1,1,N21,5.25,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,3.572
EVT_20260530_0036,thoothukudi,8.85935,78.16643,2026-05-30,2051,1,1,N21,1.43,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,3.553
EVT_20260601_0037,thoothukudi,8.74789,78.078,2026-06-01,830,1,1,N20,6.06,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,3.363
EVT_20260601_0038,thoothukudi,8.80227,77.90195,2026-06-01,833,1,1,N20,10.95,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,
EVT_20260602_0039,thoothukudi,8.67747,78.06907,2026-06-02,811,1,1,N20,2.21,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,2.968
EVT_20260602_0040,thoothukudi,8.73695,78.05997,2026-06-02,811,1,1,N20,1.58,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,823674462.0,,,industrial,,,3.293
EVT_20260602_0041,thoothukudi,8.75108,78.08628,2026-06-02,811,1,1,N20,1.92,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,2.98
EVT_20260605_0042,thoothukudi,8.74904,78.07733,2026-06-05,803,1,1,N21,3.4,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831352.0,,,industrial,,,3.5
EVT_20260605_0043,thoothukudi,8.87605,78.00178,2026-06-05,803,1,1,N21,1.96,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1516453098.0,,,industrial,,,2.821
EVT_20260606_0044,thoothukudi,8.60727,78.0759,2026-06-06,837,1,1,N20,5.25,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,548907979.0,DCW,chemical,industrial,,,2.52
EVT_20260606_0045,thoothukudi,8.863175,78.131085,2026-06-06,837,2,1,N20,3.81,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,1.442
EVT_20260608_0046,thoothukudi,8.77915,77.96409,2026-06-08,801,1,1,N20,0.76,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,1.548
EVT_20260609_0047,thoothukudi,8.85569,78.130365,2026-06-09,828,2,1,N21,3.49,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827219.0,,,industrial,,,1.05
EVT_20260613_0048,thoothukudi,8.86795,78.12238,2026-06-13,2042,1,1,N20,0.65,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,385432381.0,Thoothukudi IBPGL,,,plant,,1.593
EVT_20260614_0049,thoothukudi,8.77269,78.19781,2026-06-14,2023,1,1,N20,6.35,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827207.0,,,,,works,0.593
EVT_20260615_0050,thoothukudi,8.67767,78.07226,2026-06-15,816,1,1,N21,1.7,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906831349.0,,,industrial,,,2.699
