event_id,region_id,original_observation_id,latitude,longitude,acq_date,acq_time,satellite,frp,confidence,instrument,daynight
EVT_20260302_0001,thoothukudi,OBS_00000,8.88946,78.07883,2026-03-02,745,N21,3.6,l,VIIRS,D
EVT_20260303_0002,thoothukudi,OBS_00001,8.52041,77.95682,2026-03-03,726,N21,4.78,l,VIIRS,D
EVT_20260305_0003,thoothukudi,OBS_00002,8.86701,78.15883,2026-03-05,828,N21,3.18,l,VIIRS,D
EVT_20260307_0004,thoothukudi,OBS_00003,8.84242,78.02834,2026-03-07,752,N21,4.84,l,VIIRS,D
EVT_20260307_0004,thoothukudi,OBS_00004,8.84543,78.02959,2026-03-07,752,N21,1.94,l,VIIRS,D
EVT_20260310_0005,thoothukudi,OBS_00005,8.88966,78.0834,2026-03-10,837,N21,10.2,n,VIIRS,D
EVT_20260321_0006,thoothukudi,OBS_00006,8.83324,77.90954,2026-03-21,828,N21,9.7,n,VIIRS,D
EVT_20260322_0007,thoothukudi,OBS_00007,8.76863,77.9106,2026-03-22,809,N21,4.7,n,VIIRS,D
EVT_20260322_0007,thoothukudi,OBS_00008,8.77193,77.91009,2026-03-22,809,N21,4.7,l,VIIRS,D
EVT_20260326_0008,thoothukudi,OBS_00009,8.87448,78.11445,2026-03-26,837,N21,1.82,l,VIIRS,D
EVT_20260327_0009,thoothukudi,OBS_00010,8.85956,77.9315,2026-03-27,816,N21,7.53,n,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00011,8.77612,77.91001,2026-03-29,737,N21,4.4,l,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00012,8.77632,77.91199,2026-03-29,737,N21,4.13,n,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00013,8.77707,77.91525,2026-03-29,737,N21,5.0,n,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00014,8.77722,77.91724,2026-03-29,737,N21,4.13,l,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00015,8.77802,77.92047,2026-03-29,737,N21,5.0,n,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00016,8.77813,77.92247,2026-03-29,737,N21,3.63,n,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00017,8.77896,77.9257,2026-03-29,737,N21,5.0,n,VIIRS,D
EVT_20260329_0010,thoothukudi,OBS_00018,8.77903,77.9277,2026-03-29,737,N21,3.63,l,VIIRS,D
EVT_20260401_0011,thoothukudi,OBS_00019,8.85411,77.9365,2026-04-01,822,N21,9.98,l,VIIRS,D
