event_id,region_id,event_date,event_start_time,event_end_time,latitude,longitude,max_frp,mean_frp,total_frp,observation_count,satellite_count,satellites,event_cluster_confidence,event_cluster_method
EVT_20260302_0001,thoothukudi,2026-03-02,0745,0745,8.88946,78.07883,3.6,3.6,3.6,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260303_0002,thoothukudi,2026-03-03,0726,0726,8.52041,77.95682,4.78,4.78,4.78,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260305_0003,thoothukudi,2026-03-05,0828,0828,8.86701,78.15883,3.18,3.18,3.18,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260307_0004,thoothukudi,2026-03-07,0752,0752,8.843925,78.028965,4.84,3.39,6.78,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260310_0005,thoothukudi,2026-03-10,0837,0837,8.88966,78.0834,10.2,10.2,10.2,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260321_0006,thoothukudi,2026-03-21,0828,0828,8.83324,77.90954,9.7,9.7,9.7,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260322_0007,thoothukudi,2026-03-22,0809,0809,8.77028,77.910345,4.7,4.7,9.4,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260326_0008,thoothukudi,2026-03-26,0837,0837,8.87448,78.11445,1.82,1.82,1.82,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260327_0009,thoothukudi,2026-03-27,0816,0816,8.85956,77.9315,7.53,7.53,7.53,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260329_0010,thoothukudi,2026-03-29,0737,0737,8.777609,77.918854,5.0,4.36,34.92,8,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260401_0011,thoothukudi,2026-04-01,0822,0822,8.85411,77.9365,9.98,9.98,9.98,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260409_0012,thoothukudi,2026-04-09,2008,2008,8.66887,77.99278,0.73,0.73,0.73,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260411_0013,thoothukudi,2026-04-11,0835,0835,8.715185,77.972548,14.08,7.16,28.64,4,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260411_0014,thoothukudi,2026-04-11,0835,0835,8.755979,77.920926,8.19,5.48,49.33,9,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260412_0015,thoothukudi,2026-04-12,0816,0816,8.82935,78.12801,2.99,2.99,2.99,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260413_0016,thoothukudi,2026-04-13,0758,0758,8.82488,78.0686,3.21,3.21,3.21,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260413_0017,thoothukudi,2026-04-13,0758,0758,8.88627,78.06699,13.0,13.0,13.0,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260414_0018,thoothukudi,2026-04-14,2014,2014,8.86806,78.12099,0.86,0.86,0.86,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260418_0019,thoothukudi,2026-04-18,0803,0803,8.81549,77.94476,6.17,6.17,6.17,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260418_0020,thoothukudi,2026-04-18,2040,2040,8.807735,78.069995,6.12,6.12,12.24,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260419_0021,thoothukudi,2026-04-19,0744,0744,8.80611,78.06895,1.98,1.98,1.98,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260419_0022,thoothukudi,2026-04-19,0744,0744,8.8828,78.00963,9.83,9.83,9.83,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260419_0023,thoothukudi,2026-04-19,2019,2019,8.66883,77.99357,0.56,0.56,0.56,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260421_0024,thoothukudi,2026-04-21,0848,0848,8.861195,77.938125,4.27,4.24,8.48,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260425_0025,thoothukudi,2026-04-25,0731,0731,8.88742,78.10432,1.41,1.41,1.41,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260427_0026,thoothukudi,2026-04-27,0835,0835,8.769065,78.04026,6.11,6.11,12.22,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260430_0027,thoothukudi,2026-04-30,2014,2014,8.66993,77.99168,0.52,0.52,0.52,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260502_0028,thoothukudi,2026-05-02,0841,0841,8.72846,78.10567,3.87,3.87,3.87,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260505_0029,thoothukudi,2026-05-05,0744,0744,8.78858,77.93148,2.52,2.52,2.52,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260505_0030,thoothukudi,2026-05-05,0744,0744,8.88589,78.04684,8.57,8.57,8.57,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260519_0031,thoothukudi,2026-05-19,0822,0822,8.74381,78.1442,7.45,7.45,7.45,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260521_0032,thoothukudi,2026-05-21,0744,0744,8.76474,78.09692,7.66,7.66,7.66,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260521_0033,thoothukudi,2026-05-21,0744,0744,8.86928,77.96659,6.75,6.75,6.75,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260526_0034,thoothukudi,2026-05-26,0750,0750,8.75491,78.090295,3.25,3.25,6.5,2,1,N21,MEDIUM,spatial_temporal_bfs
EVT_20260529_0035,thoothukudi,2026-05-29,0835,0835,8.75027,78.0775,5.25,5.25,5.25,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260530_0036,thoothukudi,2026-05-30,2051,2051,8.85935,78.16643,1.43,1.43,1.43,1,1,N21,LOW,spatial_temporal_bfs
EVT_20260601_0037,thoothukudi,2026-06-01,0830,0830,8.74789,78.078,6.06,6.06,6.06,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260601_0038,thoothukudi,2026-06-01,0833,0833,8.80227,77.90195,10.95,10.95,10.95,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260602_0039,thoothukudi,2026-06-02,0811,0811,8.67747,78.06907,2.21,2.21,2.21,1,1,N20,LOW,spatial_temporal_bfs
EVT_20260602_0040,thoothukudi,2026-06-02,0811,0811,8.73695,78.05997,1.58,1.58,1.58,1,1,N20,LOW,spatial_temporal_bfs
