facility_name,acq_date,observation_count,max_frp_mw,mean_frp_mw,total_frp_mw,source_class,classification_confidence,evidence_strength,worldcover_context,worldcover_class,association_type,association_confidence,osm_feature_name,osm_industrial,osm_landuse,behavior_state,behavior_score,frp_score,detection_score,frequency_score,previous_active_days,persistence_state,active_days,activity_frequency,median_gap_days,max_gap_days,max_consecutive_active_days,investigation_priority,evidence_summary,reason,decision_interpretation
Arasadi,2026-03-02,1,3.6,3.6,3.6,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Arasadi,,industrial,INSUFFICIENT_HISTORY,,,,,0,INTERMITTENT,5,0.0333,25.5,90.0,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Arasadi: insufficient historical observations for reliable behavioural assessment.
Arasadi,2026-03-10,1,10.2,10.2,10.2,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Arasadi,,industrial,INSUFFICIENT_HISTORY,,,,,1,INTERMITTENT,5,0.0333,25.5,90.0,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Arasadi: insufficient historical observations for reliable behavioural assessment.
Arasadi,2026-04-13,1,13.0,13.0,13.0,INDUSTRIAL_ASSOCIATED,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Arasadi,,industrial,INSUFFICIENT_HISTORY,,,,,2,INTERMITTENT,5,0.0333,25.5,90.0,1,LOW,Thermal point is 0.324 km from mapped industrial feature: Arasadi; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Arasadi: insufficient historical observations for reliable behavioural assessment.
Arasadi,2026-07-12,1,3.08,3.08,3.08,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,GRASSLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Arasadi,,industrial,INSUFFICIENT_HISTORY,,,,,3,INTERMITTENT,5,0.0333,25.5,90.0,1,LOW,No strong mapped industrial association; WorldCover=GRASSLAND,thermal behaviour is within the site's previous historical range,Arasadi: insufficient historical observations for reliable behavioural assessment.
Arasadi,2026-07-29,1,8.12,8.12,8.12,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,Arasadi,,industrial,INSUFFICIENT_HISTORY,,,,,4,INTERMITTENT,5,0.0333,25.5,90.0,1,LOW,No strong mapped industrial association; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,Arasadi: insufficient historical observations for reliable behavioural assessment.
DCW,2026-06-06,1,5.25,5.25,5.25,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,TREE_COVER,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,INSUFFICIENT_HISTORY,,,,,0,RECURRING,11,0.131,5.0,30.0,3,LOW,No strong mapped industrial association; WorldCover=TREE_COVER,thermal behaviour is within the site's previous historical range,DCW: insufficient historical observations for reliable behavioural assessment.
DCW,2026-06-25,1,6.25,6.25,6.25,UNKNOWN,LOW,MEDIUM,BUILT_UP,BUILT_UP,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,INSUFFICIENT_HISTORY,,,,,1,RECURRING,11,0.131,5.0,30.0,3,LOW,Insufficient evidence,thermal behaviour is within the site's previous historical range,DCW: insufficient historical observations for reliable behavioural assessment.
DCW,2026-06-30,1,4.09,4.09,4.09,UNKNOWN,LOW,MEDIUM,BUILT_UP,BUILT_UP,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,INSUFFICIENT_HISTORY,,,,,2,RECURRING,11,0.131,5.0,30.0,3,LOW,Insufficient evidence,thermal behaviour is within the site's previous historical range,DCW: insufficient historical observations for reliable behavioural assessment.
DCW,2026-07-05,1,9.24,9.24,9.24,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,TREE_COVER,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,INSUFFICIENT_HISTORY,,,,,3,RECURRING,11,0.131,5.0,30.0,3,LOW,No strong mapped industrial association; WorldCover=TREE_COVER,thermal behaviour is within the site's previous historical range,DCW: insufficient historical observations for reliable behavioural assessment.
DCW,2026-07-17,1,3.86,3.86,3.86,FOREST_NATURAL,MEDIUM,MEDIUM,NATURAL,SHRUBLAND,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,DCW,chemical,industrial,INSUFFICIENT_HISTORY,,,,,4,RECURRING,11,0.131,5.0,30.0,3,LOW,No strong mapped industrial association; WorldCover=SHRUBLAND,thermal behaviour is within the site's previous historical range,DCW: insufficient historical observations for reliable behavioural assessment.
