event_id,event_date,event_start_time,event_end_time,observation_count,satellite_count,satellites,max_frp,total_frp,mean_frp,latitude,longitude,worldcover_class,worldcover_context,association_type,association_confidence,osm_type,osm_id,name,industrial,landuse,power,man_made,distance_km,source_class,source_class_v2,classification_confidence_v2,evidence_strength,classification_reason,evidence_summary,interpretation
EVT_20260302_0001,2026-03-02,745,745,1,1,N21,3.6,3.6,3.6,8.88946,78.07883,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,1.598,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260303_0002,2026-03-03,726,726,1,1,N21,4.78,4.78,4.78,8.52041,77.95682,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1468877017.0,,,,plant,,3.427,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260305_0003,2026-03-05,828,828,1,1,N21,3.18,3.18,3.18,8.86701,78.15883,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906827217.0,,,industrial,,,2.445,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260307_0004,2026-03-07,752,752,2,1,N21,4.84,6.78,3.39,8.843925,78.028965,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,1432129272.0,,,,plant,,0.899,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260310_0005,2026-03-10,837,837,1,1,N21,10.2,10.2,10.2,8.88966,78.0834,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986411990.0,Arasadi,,industrial,plant,,2.1,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260321_0006,2026-03-21,828,828,1,1,N21,9.7,9.7,9.7,8.83324,77.90954,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260322_0007,2026-03-22,809,809,2,1,N21,4.7,9.4,4.7,8.77028,77.910345,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260326_0008,2026-03-26,837,837,1,1,N21,1.82,1.82,1.82,8.87448,78.11445,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,906837209.0,,,industrial,,,1.084,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260327_0009,2026-03-27,816,816,1,1,N21,7.53,7.53,7.53,8.85956,77.9315,UNKNOWN,UNKNOWN,NO_NEARBY_OSM_FEATURE,NONE,,,,,,,,,UNKNOWN,UNKNOWN,LOW,LOW,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
EVT_20260329_0010,2026-03-29,737,737,8,1,N21,5.0,34.92,4.36,8.777609,77.918854,UNKNOWN,UNKNOWN,NEARBY_OSM_INDUSTRIAL_FEATURE,SCREENING,way,986423924.0,,,industrial,plant,,4.286,UNKNOWN,UNKNOWN,LOW,MEDIUM,Insufficient contextual evidence,Insufficient evidence,Available contextual evidence is insufficient for reliable source classification
