event_id,latitude,longitude,event_date,event_start_time,max_frp,observation_count,worldcover_class_code,worldcover_class
EVT_20260302_0001,8.88946,78.07883,2026-03-02,745,3.6,1,,UNKNOWN
EVT_20260303_0002,8.52041,77.95682,2026-03-03,726,4.78,1,,UNKNOWN
EVT_20260305_0003,8.86701,78.15883,2026-03-05,828,3.18,1,,UNKNOWN
EVT_20260307_0004,8.843925,78.028965,2026-03-07,752,4.84,2,,UNKNOWN
EVT_20260310_0005,8.88966,78.0834,2026-03-10,837,10.2,1,,UNKNOWN
EVT_20260321_0006,8.83324,77.90954,2026-03-21,828,9.7,1,,UNKNOWN
EVT_20260322_0007,8.77028,77.910345,2026-03-22,809,4.7,2,,UNKNOWN
EVT_20260326_0008,8.87448,78.11445,2026-03-26,837,1.82,1,,UNKNOWN
EVT_20260327_0009,8.85956,77.9315,2026-03-27,816,7.53,1,,UNKNOWN
EVT_20260329_0010,8.777609,77.918854,2026-03-29,737,5.0,8,,UNKNOWN
EVT_20260401_0011,8.85411,77.9365,2026-04-01,822,9.98,1,,UNKNOWN
EVT_20260409_0012,8.66887,77.99278,2026-04-09,2008,0.73,1,,UNKNOWN
EVT_20260411_0013,8.715185,77.972548,2026-04-11,835,14.08,4,,UNKNOWN
EVT_20260411_0014,8.755979,77.920926,2026-04-11,835,8.19,9,,UNKNOWN
EVT_20260412_0015,8.82935,78.12801,2026-04-12,816,2.99,1,,UNKNOWN
EVT_20260413_0016,8.82488,78.0686,2026-04-13,758,3.21,1,,UNKNOWN
EVT_20260413_0017,8.88627,78.06699,2026-04-13,758,13.0,1,,UNKNOWN
EVT_20260414_0018,8.86806,78.12099,2026-04-14,2014,0.86,1,,UNKNOWN
EVT_20260418_0019,8.81549,77.94476,2026-04-18,803,6.17,1,,UNKNOWN
EVT_20260418_0020,8.807735,78.069995,2026-04-18,2040,6.12,2,,UNKNOWN
EVT_20260419_0021,8.80611,78.06895,2026-04-19,744,1.98,1,,UNKNOWN
EVT_20260419_0022,8.8828,78.00963,2026-04-19,744,9.83,1,,UNKNOWN
EVT_20260419_0023,8.66883,77.99357,2026-04-19,2019,0.56,1,,UNKNOWN
EVT_20260421_0024,8.861195,77.938125,2026-04-21,848,4.27,2,,UNKNOWN
EVT_20260425_0025,8.88742,78.10432,2026-04-25,731,1.41,1,,UNKNOWN
EVT_20260427_0026,8.769065,78.04026,2026-04-27,835,6.11,2,,UNKNOWN
EVT_20260430_0027,8.66993,77.99168,2026-04-30,2014,0.52,1,,UNKNOWN
EVT_20260502_0028,8.72846,78.10567,2026-05-02,841,3.87,1,,UNKNOWN
EVT_20260505_0029,8.78858,77.93148,2026-05-05,744,2.52,1,,UNKNOWN
EVT_20260505_0030,8.88589,78.04684,2026-05-05,744,8.57,1,,UNKNOWN
EVT_20260519_0031,8.74381,78.1442,2026-05-19,822,7.45,1,,UNKNOWN
EVT_20260521_0032,8.76474,78.09692,2026-05-21,744,7.66,1,,UNKNOWN
EVT_20260521_0033,8.86928,77.96659,2026-05-21,744,6.75,1,,UNKNOWN
EVT_20260526_0034,8.75491,78.090295,2026-05-26,750,3.25,2,,UNKNOWN
EVT_20260529_0035,8.75027,78.0775,2026-05-29,835,5.25,1,,UNKNOWN
EVT_20260530_0036,8.85935,78.16643,2026-05-30,2051,1.43,1,,UNKNOWN
EVT_20260601_0037,8.74789,78.078,2026-06-01,830,6.06,1,,UNKNOWN
EVT_20260601_0038,8.80227,77.90195,2026-06-01,833,10.95,1,,UNKNOWN
EVT_20260602_0039,8.67747,78.06907,2026-06-02,811,2.21,1,,UNKNOWN
EVT_20260602_0040,8.73695,78.05997,2026-06-02,811,1.58,1,,UNKNOWN
EVT_20260602_0041,8.75108,78.08628,2026-06-02,811,1.92,1,,UNKNOWN
EVT_20260605_0042,8.74904,78.07733,2026-06-05,803,3.4,1,,UNKNOWN
EVT_20260605_0043,8.87605,78.00178,2026-06-05,803,1.96,1,,UNKNOWN
EVT_20260606_0044,8.60727,78.0759,2026-06-06,837,5.25,1,,UNKNOWN
EVT_20260606_0045,8.863175,78.131085,2026-06-06,837,3.81,2,,UNKNOWN
EVT_20260608_0046,8.77915,77.96409,2026-06-08,801,0.76,1,,UNKNOWN
EVT_20260609_0047,8.85569,78.130365,2026-06-09,828,3.49,2,,UNKNOWN
