source_id,source_class,centroid_lat,centroid_lon,event_count,active_days,first_observed_date,last_observed_date,date_span_days,max_frp,mean_event_frp,median_event_frp,satellite_count,satellites,nearest_known_facility,nearest_known_facility_distance_km,landcover_context,osm_context,persistence_class,evidence_strength,interpretation,event_ids,raw_observation_count,raw_observation_ids
SRC_UNKNOWN_001,UNMATCHED,8.857583,78.129722,12,12,2026-06-06,2026-08-28,84,3.81,1.35,1.04,2,"N20,N21",Thoothukudi IBPGL,1.308,UNKNOWN,way,PERSISTENT,HIGH,Persistent unmatched thermal source with 12 events across 12 active days. Located near Thoothukudi IBPGL (1.3 km). Candidate industrial-associated source.,EVT_20260606_0045;EVT_20260609_0047;EVT_20260613_0048;EVT_20260710_0100;EVT_20260711_0103;EVT_20260713_0108;EVT_20260716_0110;EVT_20260722_0118;EVT_20260726_0142;EVT_20260730_0157;EVT_20260815_0175;EVT_20260828_0193,14,"OBS_00194,OBS_00195,OBS_00062,OBS_00063,OBS_00197,OBS_00109,OBS_00237,OBS_00113,OBS_00239,OBS_00247,OBS_00263,OBS_00155,OBS_00172,OBS_00300"
SRC_UNKNOWN_002,UNMATCHED,8.670098,77.993239,12,12,2026-06-18,2026-08-28,72,1.68,1.04,1.08,2,"N20,N21",,,UNKNOWN,None,PERSISTENT,HIGH,Persistent unmatched thermal source with 12 events across 12 active days.,EVT_20260618_0053;EVT_20260627_0065;EVT_20260628_0069;EVT_20260629_0075;EVT_20260711_0102;EVT_20260721_0116;EVT_20260724_0134;EVT_20260801_0161;EVT_20260812_0172;EVT_20260817_0176;EVT_20260818_0181;EVT_20260828_0192,13,"OBS_00068,OBS_00081,OBS_00086,OBS_00211,OBS_00236,OBS_00245,OBS_00132,OBS_00275,OBS_00283,OBS_00285,OBS_00177,OBS_00298,OBS_00299"
SRC_UNKNOWN_003,UNMATCHED,8.617938,77.955286,7,7,2026-07-23,2026-08-18,27,5.57,3.74,3.83,2,"N20,N21",,,UNKNOWN,way,PERSISTENT,HIGH,Persistent unmatched thermal source with 7 events across 7 active days.,EVT_20260723_0120;EVT_20260724_0126;EVT_20260725_0135;EVT_20260727_0144;EVT_20260730_0155;EVT_20260810_0170;EVT_20260818_0177,13,"OBS_00248,OBS_00249,OBS_00128,OBS_00254,OBS_00255,OBS_00133,OBS_00260,OBS_00142,OBS_00270,OBS_00168,OBS_00169,OBS_00282,OBS_00173"
SRC_UNKNOWN_004,UNMATCHED,8.754943,78.087706,4,4,2026-05-21,2026-06-05,16,7.66,4.06,3.32,2,"N20,N21",,,UNKNOWN,way,PERSISTENT,HIGH,Persistent unmatched thermal source with 4 events across 4 active days.,EVT_20260521_0032;EVT_20260526_0034;EVT_20260602_0041;EVT_20260605_0042,5,"OBS_00054,OBS_00056,OBS_00057,OBS_00192,OBS_00060"
SRC_UNKNOWN_005,UNMATCHED,8.675761,78.071604,4,4,2026-06-02,2026-07-12,41,7.59,4.4,4.16,2,"N20,N21",,,UNKNOWN,way,PERSISTENT,HIGH,Persistent unmatched thermal source with 4 events across 4 active days.,EVT_20260602_0039;EVT_20260615_0050;EVT_20260624_0058;EVT_20260712_0106,5,"OBS_00190,OBS_00064,OBS_00072,OBS_00073,OBS_00111"
SRC_UNKNOWN_006,UNMATCHED,8.867498,78.157493,4,4,2026-06-30,2026-08-18,50,6.09,4.23,4.08,2,"N20,N21",,,UNKNOWN,way,PERSISTENT,HIGH,Persistent unmatched thermal source with 4 events across 4 active days.,EVT_20260630_0077;EVT_20260706_0091;EVT_20260724_0132;EVT_20260818_0180,5,"OBS_00213,OBS_00214,OBS_00102,OBS_00259,OBS_00176"
SRC_UNKNOWN_007,UNMATCHED,8.569629,78.077664,4,4,2026-07-05,2026-08-28,55,9.24,5.8,5.3,2,"N20,N21",DCW,2.484,UNKNOWN,way,PERSISTENT,HIGH,Persistent unmatched thermal source with 4 events across 4 active days. Located near DCW (2.5 km). Candidate industrial-associated source.,EVT_20260705_0085;EVT_20260724_0133;EVT_20260729_0150;EVT_20260828_0186,5,"OBS_00223,OBS_00131,OBS_00266,OBS_00291,OBS_00180"
SRC_UNKNOWN_008,UNMATCHED,8.609858,77.977438,4,3,2026-06-20,2026-07-24,35,6.33,3.88,3.3,2,"N20,N21",,,UNKNOWN,None,PERSISTENT,HIGH,Persistent unmatched thermal source with 4 events across 3 active days.,EVT_20260620_0056;EVT_20260705_0088;EVT_20260724_0129;EVT_20260724_0125,4,"OBS_00069,OBS_00097,OBS_00127,OBS_00252"
SRC_UNKNOWN_009,UNMATCHED,8.858288,77.935375,3,3,2026-03-27,2026-04-21,26,9.98,7.26,7.53,1,N21,,,UNKNOWN,None,PERSISTENT,HIGH,Persistent unmatched thermal source with 3 events across 3 active days.,EVT_20260327_0009;EVT_20260401_0011;EVT_20260421_0024,4,"OBS_00010,OBS_00019,OBS_00044,OBS_00045"
SRC_UNKNOWN_010,UNMATCHED,8.66921,77.992677,3,3,2026-04-09,2026-04-30,22,0.73,0.6,0.56,1,N21,,,UNKNOWN,None,PERSISTENT,HIGH,Persistent unmatched thermal source with 3 events across 3 active days.,EVT_20260409_0012;EVT_20260419_0023;EVT_20260430_0027,3,"OBS_00020,OBS_00043,OBS_00049"
